"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"SFKmL-C + kNN",0.985,0.977222222222222,0.975,1,0.960555555555555,0.999444444444444,0.994444444444444,0.978888888888889,0.839444444444444,0.981666666666667,0.938333333333333,0.981111111111111,0.807777777777778,0.976666666666667,0.842777777777778,0.981111111111111,0.857777777777778,0.974444444444444,0.920555555555555,0.986666666666667,0.535,0.4775,0.731666666666667,0.900132850241546
"SFKmL-C + SVM",0.976111111111111,0.981111111111111,0.973888888888889,1,0.952777777777778,0.998888888888889,0.996111111111111,0.975555555555556,0.832222222222222,0.974444444444444,0.941111111111111,0.980555555555555,0.856666666666667,0.975555555555555,0.847222222222222,0.977777777777778,0.864444444444444,0.974444444444444,0.892777777777778,0.97,0.511666666666667,0.4675,0.668888888888889,0.895205314009662
"SFKmL-C(dense) + SVM",0.948333333333333,0.905,0.972777777777778,1,0.935555555555555,1,0.990555555555556,0.982777777777778,0.88,0.974444444444444,0.961666666666667,0.986111111111111,0.928333333333333,0.967222222222222,0.866666666666667,0.97,0.870555555555555,0.973333333333333,0.886111111111111,0.953333333333333,0.5,0.461666666666667,0.635,0.893454106280193
"SFKmL-C + kFDA",0.975,0.973888888888889,0.975555555555555,0.999166666666667,0.895,0.995,0.98,0.981111111111111,0.787777777777778,0.978333333333333,0.937777777777778,0.979444444444444,0.882222222222222,0.975555555555555,0.812777777777778,0.978333333333333,0.832777777777778,0.956111111111111,0.874444444444444,0.966666666666667,0.503333333333333,0.510833333333333,0.677777777777778,0.888212560386473
"SFKmL-C(dense) + kNN",0.895555555555555,0.781666666666667,0.945,0.9975,0.897222222222222,0.987777777777778,0.988888888888889,0.981111111111111,0.869444444444444,0.969444444444444,0.954444444444444,0.978333333333333,0.918333333333333,0.951111111111111,0.815,0.934444444444444,0.782777777777778,0.979444444444444,0.827777777777778,0.926666666666667,0.6075,0.575,0.651666666666667,0.878961352657005
"DistSpace-Frechet",0.976111111111111,0.976111111111111,0.972222222222222,1,0.861111111111111,0.984444444444444,0.98,0.978888888888889,0.836666666666667,0.979444444444444,0.938333333333333,0.981111111111111,0.689444444444445,0.977222222222222,0.861111111111111,0.98,0.870555555555555,0.893888888888889,0.808333333333333,0.880555555555555,0.494166666666667,0.5125,0.6,0.870966183574879
"Euclid + kFDA",0.831111111111111,0.787777777777778,0.937222222222222,0.991666666666667,0.472222222222222,1,0.996111111111111,0.986666666666667,0.882222222222222,0.985,0.956111111111111,0.978333333333333,0.95,0.941111111111111,0.828333333333333,0.882777777777778,0.845,0.952777777777778,0.793888888888889,0.79,0.745833333333333,0.649166666666667,0.653888888888889,0.862487922705314
"SFKmL-C(gap) + medoid",0.951666666666667,0.931111111111111,0.961111111111111,1,0.877222222222222,0.992222222222222,0.979444444444444,0.952222222222222,0.836111111111111,0.941111111111111,0.937222222222222,0.950555555555555,0.677222222222222,0.953333333333333,0.831666666666667,0.955,0.821666666666667,0.908888888888889,0.836666666666667,0.896666666666667,0.526666666666667,0.486666666666667,0.626111111111111,0.86219806763285
"SFKmL-C + medoid",0.957777777777778,0.954444444444444,0.966111111111111,1,0.869444444444444,0.991666666666667,0.986111111111111,0.941666666666667,0.803888888888889,0.948888888888889,0.907777777777778,0.951111111111111,0.705555555555556,0.948333333333333,0.83,0.953333333333333,0.827777777777778,0.900555555555555,0.82,0.896666666666667,0.540833333333333,0.488333333333333,0.611111111111111,0.860929951690821
"SFKmL-C(gaplab) + medoid",0.950555555555555,0.931111111111111,0.958333333333333,1,0.877777777777778,0.992222222222222,0.984444444444444,0.952777777777778,0.826666666666667,0.945,0.936111111111111,0.946111111111111,0.652777777777778,0.954444444444444,0.831111111111111,0.953333333333333,0.822777777777778,0.905,0.834444444444444,0.896666666666667,0.525,0.485,0.626666666666667,0.86036231884058
"MFPCA-SVM",0.837222222222222,0.775555555555556,0.877777777777778,0.994166666666667,0.682777777777778,1,0.913888888888889,0.954444444444444,0.878888888888889,0.943888888888889,0.923888888888889,0.887222222222222,0.661111111111111,0.89,0.799444444444444,0.865,0.835,0.959444444444444,0.828333333333333,0.883333333333333,0.753333333333333,0.720833333333333,0.662777777777778,0.849057971014493
"SFKmL-C + mean",0.946666666666666,0.941111111111111,0.949444444444444,1,0.775,0.991666666666667,0.987222222222222,0.936666666666667,0.804444444444444,0.935555555555555,0.908888888888889,0.945555555555555,0.679444444444445,0.94,0.799444444444444,0.948888888888889,0.821666666666667,0.88,0.812777777777778,0.876666666666666,0.5075,0.486666666666667,0.596666666666667,0.846606280193237
"SFKmL-C(dense) + kFDA",0.886666666666666,0.920555555555555,0.933333333333333,1,0.794444444444444,0.978333333333333,0.972777777777778,0.976666666666667,0.841666666666667,0.971111111111111,0.946666666666666,0.975,0.921666666666667,0.893888888888889,0.681111111111111,0.893888888888889,0.652222222222222,0.96,0.691666666666667,0.849444444444444,0.554166666666667,0.503333333333333,0.55,0.841243961352657
"DistSpace-bagdist",0.767777777777778,0.739444444444444,0.778888888888889,0.999166666666667,0.713333333333333,1,0.968888888888889,0.929444444444444,0.837777777777778,0.918888888888889,0.898333333333333,0.841111111111111,0.698333333333333,0.844444444444444,0.786111111111111,0.806666666666667,0.786111111111111,0.969444444444444,0.801111111111111,0.887222222222222,0.921666666666667,0.808333333333333,0.631666666666667,0.840615942028985
"SFKmL-C(dense) + mean",0.825555555555555,0.734444444444444,0.943888888888889,0.995833333333333,0.696111111111111,0.962222222222222,0.968888888888889,0.931666666666666,0.852222222222222,0.859444444444444,0.922222222222222,0.942222222222222,0.727777777777778,0.900555555555555,0.806666666666667,0.883888888888889,0.797222222222222,0.887222222222222,0.778888888888889,0.841666666666667,0.483333333333333,0.4775,0.569444444444445,0.816908212560386
"DTW + SVM",0.825,0.779444444444444,0.892777777777778,1,0.806111111111111,0.999444444444444,0.998888888888889,0.916111111111111,0.796111111111111,0.893333333333333,0.898888888888889,0.928333333333333,0.756111111111111,0.876666666666666,0.502222222222222,0.855,0.485,0.970555555555555,0.437777777777778,0.9,0.7825,0.816666666666667,0.468888888888889,0.808079710144927
"Euclid + SVM",0.818333333333333,0.784444444444444,0.863333333333333,0.983333333333333,0.402222222222222,1,0.985,0.925,0.862777777777778,0.898333333333333,0.908333333333333,0.879444444444444,0.602777777777778,0.83,0.803888888888889,0.833333333333333,0.836111111111111,0.89,0.816111111111111,0.821666666666667,0.596666666666667,0.511666666666667,0.649444444444444,0.804444444444444
"MFPLS-DA",0.812222222222222,0.771111111111111,0.902222222222222,0.988333333333333,0.395555555555555,1,0.982222222222222,0.943888888888889,0.864444444444444,0.946666666666666,0.920555555555555,0.923888888888889,0.771111111111111,0.863333333333333,0.782222222222222,0.851666666666667,0.820555555555555,0.861111111111111,0.723888888888889,0.756666666666667,0.52,0.490833333333333,0.584444444444445,0.803345410628019
"1NN-Euclid",0.715,0.671111111111111,0.807777777777778,0.998333333333333,0.722222222222222,0.993888888888889,0.939444444444444,0.866666666666667,0.803333333333333,0.851111111111111,0.832777777777778,0.819444444444444,0.653333333333333,0.750555555555556,0.706666666666667,0.759444444444444,0.751666666666667,0.938888888888889,0.766111111111111,0.792777777777778,0.775,0.729166666666667,0.595555555555556,0.793055555555556
"Euclid + kNN",0.715555555555556,0.675555555555556,0.796111111111111,0.998333333333333,0.716666666666667,0.996111111111111,0.935,0.854444444444444,0.789444444444444,0.845,0.825,0.811666666666667,0.639444444444444,0.736111111111111,0.698888888888889,0.745555555555556,0.741111111111111,0.932222222222222,0.789444444444444,0.816111111111111,0.763333333333333,0.7275,0.613333333333333,0.789649758454106
