"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"DTW + DBA",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875555555555556,0.897222222222222,NA,0.924259259259259
"NC-DBA",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875555555555556,0.897222222222222,NA,0.924259259259259
"DistSpace-bagdist",NA,NA,NA,0.999166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.928194444444445,0.832916666666667,NA,0.920092592592593
"Subspace",NA,NA,NA,0.999166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.951666666666667,0.804166666666667,NA,0.918333333333333
"DTW + kNN",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.877083333333333,0.856527777777778,NA,0.911203703703704
"DTW + SVM",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.826388888888889,0.893333333333333,NA,0.906574074074074
"1NN-DTW",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.853333333333333,0.805,NA,0.886111111111111
"MFKmL-C + kNN",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.869166666666667,0.788472222222222,NA,0.88587962962963
"MFKmL-C + SVM",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.878055555555555,0.775,NA,0.884351851851852
"1NN-DDTW",NA,NA,NA,0.994722222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.885555555555556,0.751111111111111,NA,0.87712962962963
"MFPCA-SVM",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815555555555556,0.788333333333333,NA,0.867962962962963
"DTW + kFDA",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.859583333333333,0.725972222222222,NA,0.861851851851852
"Euclid + kNN",NA,NA,NA,0.998333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778472222222222,0.748333333333333,NA,0.841712962962963
"Euclid + kFDA",NA,NA,NA,0.999722222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.807361111111111,0.698472222222222,NA,0.835185185185185
"1NN-Euclid",NA,NA,NA,0.998333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775,0.729166666666667,NA,0.834166666666667
"MFKmL-C + mean",NA,NA,NA,0.999444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805,0.688888888888889,NA,0.831111111111111
"MFKmL-C + kFDA",NA,NA,NA,0.984166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.850972222222222,0.586944444444444,NA,0.807361111111111
"MFKmL-C + medoid",NA,NA,NA,0.995277777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.682222222222222,0.588888888888889,NA,0.755462962962963
"SFKmL-C(dense) + kNN",NA,NA,NA,0.9975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.616111111111111,0.583055555555556,NA,0.732222222222222
"DTW + medoid",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572777777777778,0.622777777777778,NA,0.731851851851852
"Euclid + SVM",NA,NA,NA,0.999444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.631944444444444,0.4825,NA,0.70462962962963
"SFKmL-C(dense) + kFDA",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555694444444444,0.502916666666667,NA,0.686203703703704
"SFKmL-C + kFDA",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507361111111111,0.521666666666667,NA,0.676342592592593
"SFKmL-C + medoid",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5325,0.482777777777778,NA,0.671759259259259
"SFKmL-C + kNN",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537083333333333,0.478055555555556,NA,0.671712962962963
"MFPLS-DA",NA,NA,NA,0.996388888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526388888888889,0.484166666666667,NA,0.668981481481482
"SFKmL-C(gap) + medoid",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.527222222222222,0.479722222222222,NA,0.668981481481482
"MFPCA-LDA",NA,NA,NA,0.998611111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.528055555555556,0.476666666666667,NA,0.667777777777778
"MaxDepth-MBD (w)",NA,NA,NA,0.981111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509444444444444,0.511666666666667,NA,0.667407407407407
"DistSpace-Frechet",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485416666666667,0.515833333333333,NA,0.667083333333333
"SFKmL-C + mean",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.519166666666667,0.479444444444444,NA,0.666203703703704
"SFKmL-C(gaplab) + medoid",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,0.473333333333333,NA,0.664444444444444
"SFKmL-C + SVM",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513888888888889,0.463333333333333,NA,0.659074074074074
"SFKmL-C(dense) + medoid",NA,NA,NA,0.998611111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521388888888889,0.456111111111111,NA,0.658703703703704
"Euclid + medoid",NA,NA,NA,0.984166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.504166666666667,0.476944444444444,NA,0.655092592592593
"Euclid + centroid",NA,NA,NA,0.985555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.486666666666667,0.4875,NA,0.653240740740741
"KmL3d-C (NC-Euclid)",NA,NA,NA,0.985555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.486666666666667,0.4875,NA,0.653240740740741
"SFKmL-C(dense) + mean",NA,NA,NA,0.999722222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.486111111111111,0.472222222222222,NA,0.652685185185185
"MaxDepth-MBD",NA,NA,NA,0.971944444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.485555555555556,0.499722222222222,NA,0.652407407407407
"SFKmL-C(dense) + SVM",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.481666666666667,0.441111111111111,NA,0.640925925925926
"MaxDepth-MFHD",NA,NA,NA,0.816944444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.592777777777778,NA,0.636574074074074
"DD-classifier",NA,NA,NA,0.904166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.484166666666667,0.4975,NA,0.628611111111111
