"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"MaxDepth-MFHD",1,1,0.536906558283833,0.344518422151507,0.685190711323158,0.577207347587593,1,1,1,1,1,1,1,0.672540383696302,0.673030952013945,0.971259804332405,0.980409144441594,1,0.6148858963362,0.59850318237633,1,0.601753740288379,0.638154846760848,0.821493956069221
"MaxDepth-MBD",0.65318711968212,0.661151343104442,0.649577337552884,0.432187388857709,0.665346573923923,0.594721148445443,0.405997956593019,0.600862186227773,0.594244054988772,0.614745324938429,0.60117352129513,0.576294690820069,0.63616515006191,0.64026059367335,0.638232847066133,0.639591300718889,0.639485999866848,0.547550032755685,0.622268588860853,0.620575930048849,0.505464429311566,0.50181333424636,0.626591014433757,0.594238602933648
"Euclid + medoid",0.640528706274481,0.656354581488358,0.565694678863674,0.381120086945148,0.661618511269317,0.593404896984584,0.475713634006761,0.560278816635228,0.548798146695745,0.575744435769144,0.558134761543817,0.55533947747271,0.647616188966775,0.616615035852688,0.610981697644656,0.618990493845804,0.619802047506325,0.504345761610275,0.599124353057701,0.61089866273229,0.50919654413576,0.508056430466701,0.621424705089129,0.57564272412422
"MaxDepth-MBD (w)",0.622304818139352,0.623297107325629,0.655773682043346,0.224548833800403,0.664816378606283,0.507014222602979,0.311151506265888,0.636635932344734,0.579963088205937,0.648931962365322,0.616106417703785,0.630745395631498,0.628152302272989,0.630746809183165,0.591157711037689,0.628024776684047,0.585900619297255,0.547107235481737,0.557842455388687,0.55318828555323,0.507081711444175,0.501136453317253,0.584355106313548,0.566781861348215
"1NN-DDTW",0.656816330049342,0.663173402928033,0.599254701342417,0.440906331276279,0.654447167028386,0.644018208470176,0.499272160959294,0.440168021952451,0.587655461309246,0.446189579034837,0.463110397482722,0.500435176797249,0.596981307946211,0.637618579500521,0.655142430400458,0.64121724559027,0.662035747719783,0.462394533661053,0.663933372600659,0.649067214298054,0.295898863732264,0.475626877621527,0.665616656246685,0.565259989910779
"MFKmL-C + medoid",0.643469340118432,0.657431175808932,0.547532512348925,0.366707597953545,0.650348217128167,0.638213619013678,0.410192656100438,0.497758496025623,0.555538603912439,0.490939360333589,0.504894284274116,0.546436842311337,0.623406138875244,0.594101370375049,0.651869223847912,0.619454677709283,0.654109463124312,0.40699247874792,0.656629901603745,0.617739699630248,0.454134857413747,0.488661204137395,0.648752071673021,0.561970164889874
"Subspace",0.534611801732759,0.586977376211144,0.697478183857894,0.249096171283288,0.548059801516747,0.34664743942154,0.506119450131181,0.630140686205813,0.628413661931638,0.635975409661623,0.628727021619116,0.597157152200659,0.667940164818893,0.598672191307855,0.602248878188567,0.544721735596867,0.566268381460127,0.618076044339508,0.604104242709873,0.563117901723274,0.436023813578124,0.427521034167538,0.657745000223092,0.559819284516831
"DTW + DBA",0.648018257638543,0.660894984451276,0.534873176006065,0.264121212153016,0.659329116088288,0.63595005074349,0.363905309944303,0.518456005235794,0.624629771316226,0.595138974472825,0.513276432486855,0.501062281811847,0.554930522101318,0.60764435754508,0.658580686881228,0.622517771386258,0.647969130762498,0.504336400946266,0.656722982990632,0.614613759041552,0.369423964357196,0.440878271812768,0.638040324481234,0.558057119332807
"NC-DBA",0.648018257638543,0.660894984451276,0.534873176006065,0.264121212153016,0.659329116088288,0.63595005074349,0.363905309944303,0.518456005235794,0.624629771316226,0.595138974472825,0.513276432486855,0.501062281811847,0.554930522101318,0.60764435754508,0.658580686881228,0.622517771386258,0.647969130762498,0.504336400946266,0.656722982990632,0.614613759041552,0.369423964357196,0.440878271812768,0.638040324481234,0.558057119332807
"MFKmL-C + mean",0.630174843023637,0.651176340548511,0.555722740499617,0.366190374595062,0.64373336914641,0.636046928783936,0.407326113301238,0.495761609408911,0.555030788303164,0.497500688066862,0.500793517018985,0.531105055628238,0.605787625686724,0.566168599885767,0.638622423930414,0.605131396697343,0.650383901110482,0.406858740396885,0.648509468602919,0.610802902739205,0.430813284947001,0.477224547604886,0.643045061577447,0.554517840065376
