"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"SFKmL-C + kNN",0.9775,0.965833333333333,0.947856720916215,1,0.940833333333333,0.999166666666667,0.991666666666667,0.968333333333333,0.759166666666667,0.9725,0.9075,0.971666666666667,0.711666666666667,0.965,0.764166666666667,0.971666666666667,0.786666666666667,0.961666666666667,0.880833333333333,0.98,0.07,-0.045,0.5975,0.82809521974998
"SFKmL-C + SVM",0.964166666666667,0.971666666666667,0.947302279395551,1,0.929166666666667,0.998333333333333,0.994166666666667,0.963333333333333,0.748333333333333,0.961666666666667,0.911666666666667,0.970833333333333,0.785,0.963333333333333,0.770833333333333,0.966666666666667,0.796666666666667,0.961666666666667,0.839166666666667,0.955,0.0233333333333334,-0.065,0.503333333333333,0.820027635336039
"SFKmL-C(dense) + SVM",0.9225,0.8575,0.944389281393473,1,0.903333333333333,1,0.985833333333333,0.974166666666667,0.82,0.961666666666667,0.9425,0.979166666666667,0.8925,0.950833333333333,0.8,0.955,0.805833333333333,0.96,0.829166666666667,0.93,-1.05351925100416e-17,-0.0766666666666667,0.4525,0.816966200640296
"SFKmL-C + kFDA",0.9625,0.960833333333333,0.949881880654289,0.998333333333333,0.8425,0.9925,0.97,0.971666666666667,0.681666666666667,0.9675,0.906666666666667,0.969166666666667,0.823333333333333,0.963333333333333,0.719166666666667,0.9675,0.749166666666667,0.934166666666667,0.811666666666667,0.95,0.00666666666666666,0.0216666666666667,0.516666666666667,0.810284719448737
"SFKmL-C(dense) + kNN",0.843333333333333,0.6725,0.882876101750334,0.995,0.845833333333333,0.981666666666667,0.983333333333333,0.971666666666667,0.804166666666667,0.954166666666667,0.931666666666667,0.9675,0.8775,0.926666666666667,0.7225,0.901666666666667,0.674166666666667,0.969166666666667,0.741666666666667,0.89,0.215,0.15,0.4775,0.799110555148565
"DistSpace-Frechet",0.964166666666667,0.964166666666667,0.94277415370041,1,0.791666666666667,0.976666666666667,0.97,0.968333333333333,0.755,0.969166666666667,0.9075,0.971666666666667,0.534166666666667,0.965833333333333,0.791666666666667,0.97,0.805833333333333,0.840833333333333,0.7125,0.820833333333333,-0.0116666666666667,0.025,0.4,0.784178586392771
"Euclid + kFDA",0.746666666666667,0.681666666666667,0.868881631717128,0.983333333333333,0.208333333333333,1,0.994166666666667,0.98,0.823333333333333,0.9775,0.934166666666667,0.9675,0.925,0.911666666666667,0.7425,0.824166666666667,0.7675,0.929166666666667,0.690833333333333,0.685,0.491666666666667,0.298333333333333,0.480833333333333,0.778791955002194
"SFKmL-C(gap) + medoid",0.9275,0.896666666666667,0.922044244181223,1,0.815833333333333,0.988333333333333,0.969166666666667,0.928333333333333,0.754166666666667,0.911666666666667,0.905833333333333,0.925833333333333,0.515833333333333,0.93,0.7475,0.9325,0.7325,0.863333333333333,0.755,0.845,0.0533333333333333,-0.0266666666666666,0.439166666666667,0.770994677283242
"SFKmL-C + medoid",0.936666666666667,0.931666666666667,0.931505068697997,1,0.804166666666667,0.9875,0.979166666666667,0.9125,0.705833333333333,0.923333333333333,0.861666666666667,0.926666666666667,0.558333333333333,0.9225,0.745,0.93,0.741666666666667,0.850833333333333,0.73,0.845,0.0816666666666667,-0.0233333333333333,0.416666666666667,0.769521959508609
"SFKmL-C(gaplab) + medoid",0.925833333333333,0.896666666666667,0.91637544076242,1,0.816666666666667,0.988333333333333,0.976666666666667,0.929166666666667,0.74,0.9175,0.904166666666667,0.919166666666667,0.479166666666667,0.931666666666667,0.746666666666667,0.93,0.734166666666667,0.8575,0.751666666666667,0.845,0.05,-0.03,0.44,0.768103280033149
