"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"SFKmL-C + kNN",0.98495115995116,0.976995226995227,0.952161996779388,1,0.960296148296148,0.999440559440559,0.994405594405594,0.97862037962038,0.835912492736022,0.981417582417582,0.937640193140193,0.980970584970585,0.803263151336681,0.976423132423132,0.838296222296222,0.980990675990676,0.854121478195008,0.974407703407703,0.919802974802975,0.986501498501498,0.51915293040293,0.460589791744204,0.728669039795201,0.89674045728909
"SFKmL-C + SVM",0.975817071817072,0.980894771894772,0.944005615157789,1,0.952205461205461,0.998881118881119,0.996083916083916,0.975217338217338,0.828835659982719,0.974062826062826,0.94040293040293,0.980308691308691,0.853273705597235,0.975243645243645,0.844957098457098,0.977540348540349,0.861580641580642,0.974183705183705,0.891050870697929,0.969445942945943,0.495409999314411,0.453974775224775,0.660838644470997,0.891487599055277
"SFKmL-C(dense) + SVM",0.947122488622489,0.903669793169793,0.947216260551043,1,0.934939837939838,1,0.99049728049728,0.982611055611056,0.877481000481,0.973943611943612,0.961352536352536,0.986029526029526,0.927046786546787,0.966940947940948,0.864642986642987,0.969719280719281,0.868587264587265,0.973084249084249,0.884667443667444,0.952634143634144,0.480044728963847,0.443696039254863,0.621910002851179,0.889471185438746
"SFKmL-C + kFDA",0.974861471861472,0.973554001554002,0.95313169648387,0.999160839160839,0.893500943500943,0.994965034965035,0.979733155733156,0.98100333000333,0.780920103317162,0.978250527250527,0.937337773337773,0.979268287268287,0.878926913500443,0.975384282384282,0.807842488666018,0.978189921189921,0.828221847868907,0.955835386835387,0.872930671180671,0.966173271173271,0.490211985726692,0.496698915463621,0.67163667160726,0.884684326957951
"SFKmL-C(dense) + kNN",0.892976539800069,0.774100982350982,0.895895386738865,0.997482517482517,0.894466366966367,0.987672216672217,0.988787212787213,0.980915528915529,0.865849132349132,0.969156066156066,0.954056055056055,0.978142968142968,0.916992646242646,0.950641691641692,0.809480149480149,0.933484404484404,0.771469521763639,0.979309801309801,0.824747597718186,0.925963036963037,0.59294834740423,0.563481071216365,0.647185995434447,0.873704575525069
"DistSpace-Frechet",0.975896991896992,0.975957042957043,0.95074820590038,1,0.858160991513933,0.984162837162837,0.979767454767455,0.978616716616717,0.833931418254948,0.979192363192363,0.937519480519481,0.980971583971584,0.681112009994363,0.977033189033189,0.858318403818404,0.979860472860473,0.868380952380952,0.89190712990713,0.805788942538943,0.879397935397935,0.480832619178207,0.499827297702298,0.591953543188837,0.86736250359802
"SFKmL-C(gap) + medoid",0.951457875457875,0.930438246938247,0.934967754789494,1,0.874509368082897,0.992143856143856,0.97921645021645,0.951528693528694,0.831525509349039,0.940312465312465,0.936691641691642,0.949632034632035,0.66997244934861,0.952812742812743,0.826646952720482,0.954488178488178,0.817105334752394,0.908165445665446,0.834107633107633,0.894939504939505,0.510894674769675,0.464071681586388,0.619275577363813,0.857604524856416
"Euclid + kFDA",0.827856086179616,0.782728850125909,0.87012734495778,0.991608391608392,0.463921649156943,1,0.99605994005994,0.986585081585082,0.879601657601658,0.984939504939505,0.955777777777778,0.97804995004995,0.94919869019869,0.94087900987901,0.825967302849656,0.880907657157657,0.842683263359734,0.952427905427905,0.789960655357714,0.786989203062732,0.732573093573094,0.638437781173075,0.64973803375274,0.856826905644981
"SFKmL-C + medoid",0.957043512043512,0.95393006993007,0.937303311181572,1,0.866879148629149,0.991523809523809,0.986001665001665,0.94081746031746,0.799024045671105,0.948379287379287,0.906533744033744,0.950582306582307,0.698864482467424,0.947555222555223,0.825425414998944,0.952808191808192,0.8239181004181,0.899901265401265,0.816544268367798,0.894663752913753,0.524585633320927,0.469243725229019,0.603291491732668,0.856296517804652
"SFKmL-C(gaplab) + medoid",0.950239538239538,0.930438246938247,0.928713786535526,1,0.875203895777425,0.992143856143856,0.984299367299367,0.952296259296259,0.822574617648147,0.94448618048618,0.935542235542235,0.945138972138972,0.645198822104395,0.953837828837829,0.826440587190587,0.952858585858586,0.81824721139427,0.904241924741925,0.831815628815629,0.894939504939505,0.509037268287268,0.461078635416871,0.620442831678126,0.855618077622206
"SFKmL-C + mean",0.945630258630259,0.939756465756466,0.916595939326374,1,0.768474627224627,0.99156820956821,0.987084915084915,0.93502725052725,0.800764138911198,0.933691808191808,0.907520091020091,0.944967476967477,0.663107602637014,0.938933510933511,0.795183469580528,0.947868353868354,0.817656861656862,0.878348947348947,0.809073334073334,0.875422706922707,0.49237565865507,0.466566201772084,0.590737166972461,0.841145869375198
