"method","HighDim20","HighDim50","Imbalanced","LeadLag","Phase","Phase_nowarp","Setting1","Setting2","Setting2_async","Setting2a","Setting2b","Setting3","Setting4","Setting5","Setting5_async","Setting6","Setting6_async","Shape","Shape_async","Shape_noise","SharedWarp","SyncBreak","Thyroid_like","OVERALL"
"SFKmL-C + kNN",0.986865079365079,0.980873015873016,0.972418803418803,1,0.966031746031746,0.999523809523809,0.995238095238095,0.982023809523809,0.858502044252044,0.984404761904762,0.945436507936508,0.983611111111111,0.817717652717653,0.979968253968254,0.864386243386243,0.983571428571428,0.877262626262626,0.978103174603175,0.934740740740741,0.988928571428571,0.539024891774892,0.471244949494949,0.76450419025419,0.90671223945137
"SFKmL-C + SVM",0.979492063492063,0.984047619047619,0.958900488400488,1,0.959619047619047,0.999047619047619,0.996666666666667,0.979087301587302,0.851504088504089,0.978492063492063,0.948289682539682,0.983333333333333,0.869983525733526,0.979015873015873,0.864812169312169,0.981230158730159,0.879313492063492,0.978373015873016,0.905246151996152,0.97418253968254,0.519833333333333,0.462267857142857,0.687608345358345,0.900884627650932
"SFKmL-C(dense) + SVM",0.956619047619047,0.917503968253968,0.958639194139194,1,0.945039682539682,1,0.991746031746032,0.985166666666667,0.894433862433862,0.978611111111111,0.966515873015873,0.987777777777778,0.941161375661376,0.972277777777778,0.883944444444444,0.974642857142857,0.885789682539682,0.977023809523809,0.900388888888889,0.959492063492063,0.49509613997114,0.449277597402597,0.646274771524772,0.898583592333592
"SFKmL-C + kFDA",0.978452380952381,0.977944444444444,0.971382783882784,0.999285714285714,0.909134920634921,0.995714285714286,0.983492063492063,0.983809523809524,0.807973665223665,0.981388888888889,0.945821428571428,0.982301587301587,0.896636964886965,0.978809523809524,0.829484848484848,0.981388888888889,0.850654882154882,0.963031746031746,0.888656084656085,0.971357142857143,0.506085317460317,0.513859126984127,0.70162518037518,0.895577886686582
"SFKmL-C(dense) + kNN",0.912340668590669,0.821357864357864,0.931571428571428,0.997857142857143,0.911603174603175,0.989563492063492,0.990595238095238,0.983222222222222,0.885927248677249,0.97368253968254,0.959857142857143,0.982103174603175,0.931496031746032,0.958833333333333,0.839396825396825,0.944297619047619,0.810176166426166,0.982400793650794,0.855363275613276,0.937769841269841,0.626499278499279,0.585231240981241,0.698858752358752,0.8917393258915
"DistSpace-Frechet",0.9795,0.979880952380952,0.964640415140415,1,0.880605098605099,0.987063492063492,0.982896825396825,0.98218253968254,0.856819504569505,0.982698412698413,0.945261904761905,0.984087301587302,0.694151274651275,0.980563492063492,0.879072751322751,0.98297619047619,0.88584126984127,0.908554232804233,0.827525132275132,0.890646825396825,0.495172799422799,0.515130952380952,0.616564574314574,0.878340693123302
"Euclid + kFDA",0.853091991341991,0.814519961519962,0.907487567987568,0.992857142857143,0.49363936988937,1,0.996785714285714,0.988333333333333,0.896269841269841,0.987103174603175,0.961753968253968,0.981666666666667,0.957694444444444,0.94972619047619,0.846923761423761,0.901482804232804,0.867285714285714,0.959638888888889,0.817513347763348,0.809724266474267,0.785452380952381,0.661921717171717,0.675707311207311,0.874199111275198
"SFKmL-C(gap) + medoid",0.95844708994709,0.941883597883598,0.94901282051282,1,0.895834054834055,0.993452380952381,0.982619047619048,0.959126984126984,0.857972943722944,0.948,0.945742063492063,0.957587301587302,0.681855320605321,0.959690476190476,0.852552308802309,0.961039682539682,0.847321548821549,0.921392857142857,0.858137566137566,0.907165343915344,0.525069444444444,0.481731240981241,0.652176286676287,0.871209146127624
"SFKmL-C + medoid",0.96465873015873,0.960547619047619,0.951599511599512,1,0.890050264550264,0.99297619047619,0.98797619047619,0.950220899470899,0.826345358345358,0.955772486772487,0.918464285714286,0.95833201058201,0.711482082732083,0.956316137566138,0.851334054834055,0.960593915343915,0.850699735449735,0.912757936507936,0.842856541606542,0.903595238095238,0.541439574314574,0.49475018037518,0.64262000962001,0.870669084940824
"SFKmL-C(gaplab) + medoid",0.957812169312169,0.941883597883598,0.942346153846154,1,0.896468975468975,0.993452380952381,0.986666666666667,0.958896825396825,0.85049013949014,0.951304232804233,0.9445,0.953333333333333,0.653798322048322,0.960833333333333,0.851312169312169,0.960034391534391,0.846742183742184,0.917730158730159,0.856335978835979,0.907165343915344,0.523329365079365,0.475073232323232,0.65388468013468,0.868843201484506
"MFPCA-SVM",0.864335377585378,0.818753487253487,0.771192307692308,0.995,0.711168951418951,1,0.923608465608466,0.959757936507936,0.891350529100529,0.950210317460317,0.932555555555555,0.900918710918711,0.678493746993747,0.906662698412698,0.81956734006734,0.883794973544973,0.85619252044252,0.965873015873016,0.848604497354497,0.897324795574795,0.781761002886003,0.750259018759019,0.675449837199837,0.86012326461783
"SFKmL-C + mean",0.955063492063492,0.949956349206349,0.930018315018315,1,0.795146825396825,0.992936507936508,0.989285714285714,0.945276455026455,0.824104617604618,0.944486772486772,0.918419312169312,0.952638888888889,0.686168590668591,0.948654761904762,0.821042448292448,0.957507936507936,0.839207671957672,0.898161375661376,0.833294973544974,0.890436507936508,0.514386904761905,0.489721500721501,0.61609632034632,0.856174445321184
"DistSpace-bagdist",0.792573713323713,0.774283290783291,0.645800257748787,0.999285714285714,0.740784576534577,1,0.972833333333333,0.93993253968254,0.860621572871573,0.929895502645503,0.913226911976912,0.857374338624339,0.726946433196433,0.868172059422059,0.806949013949014,0.826349326599327,0.80853379028379,0.973896825396825,0.820605218855219,0.903732804232804,0.937309523809524,0.824147907647908,0.653970057720058,0.851183683170576
