"method","auxiliary","coupled","frechet","paper","OVERALL"
"SFKmL-C + kNN",0.96962962962963,0.670833333333333,0.901481481481481,0.955,0.898900966183575
"SFKmL-C + SVM",0.9675,0.659722222222222,0.889074074074074,0.959722222222222,0.893961352657005
"SFKmL-C(dense) + SVM",0.934259259259259,0.653888888888889,0.888950617283951,0.970138888888889,0.89243961352657
"SFKmL-C + kFDA",0.966851851851852,0.671111111111111,0.866481481481481,0.961597222222222,0.887173913043478
"SFKmL-C(dense) + kNN",0.855,0.726666666666667,0.859753086419753,0.959513888888889,0.876473429951691
"DistSpace-Frechet",0.9675,0.668888888888889,0.844074074074074,0.938055555555555,0.870012077294686
"SFKmL-C(gap) + medoid",0.941111111111111,0.671111111111111,0.847469135802469,0.918263888888889,0.861304347826087
"SFKmL-C + medoid",0.951203703703704,0.676388888888889,0.839012345679012,0.917847222222222,0.859855072463768
"SFKmL-C(gaplab) + medoid",0.938981481481481,0.67,0.845925925925926,0.915625,0.859359903381642
"Euclid + kFDA",0.827685185185185,0.795555555555556,0.802037037037037,0.959513888888889,0.859311594202898
"SFKmL-C + mean",0.93712962962963,0.664722222222222,0.817592592592593,0.910277777777778,0.84548309178744
"MFPCA-SVM",0.785,0.822777777777778,0.836666666666667,0.879930555555555,0.843164251207729
"SFKmL-C(dense) + kFDA",0.908240740740741,0.685833333333333,0.777654320987654,0.943958333333333,0.840555555555556
"DistSpace-bagdist",0.704259259259259,0.909722222222222,0.823641975308642,0.863263888888889,0.833079710144928
"SFKmL-C(dense) + mean",0.820648148148148,0.652222222222222,0.799074074074074,0.892083333333333,0.815084541062802
"DTW + SVM",0.812407407407407,0.866388888888889,0.707345679012346,0.890416666666667,0.805471014492754
"Euclid + SVM",0.793333333333333,0.697222222222222,0.786913580246913,0.857777777777778,0.800700483091787
"MFPLS-DA",0.803148148148148,0.666388888888889,0.754320987654321,0.900416666666667,0.800036231884058
"SFKmL-C(dense) + medoid",0.720833333333333,0.654166666666667,0.75358024691358,0.896180555555555,0.785942028985507
"1NN-Euclid",0.674259259259259,0.834166666666667,0.785679012345679,0.809097222222222,0.785615942028985
"MFPCA-LDA",0.781481481481481,0.671111111111111,0.778641975308642,0.829861111111111,0.78280193236715
"Euclid + kNN",0.668333333333333,0.829722222222222,0.788148148148148,0.799027777777778,0.781727053140097
"DTW + kFDA",0.799444444444444,0.820555555555556,0.655679012345679,0.901458333333333,0.781425120772947
"DTW + kNN",0.681574074074074,0.894166666666667,0.676049382716049,0.863680555555555,0.77048309178744
"1NN-DTW",0.69537037037037,0.886111111111111,0.664567901234568,0.870694444444444,0.769178743961353
"MFKmL-C + SVM",0.764166666666667,0.843888888888889,0.622037037037037,0.887013888888889,0.761678743961353
"MFKmL-C + kNN",0.61962962962963,0.871666666666667,0.626111111111111,0.865972222222222,0.740724637681159
"Euclid + centroid",0.765092592592593,0.643611111111111,0.739753086419753,0.731388888888889,0.727608695652174
"KmL3d-C (NC-Euclid)",0.765092592592593,0.643611111111111,0.739753086419753,0.731388888888889,0.727608695652174
"MFKmL-C + mean",0.733611111111111,0.783611111111111,0.577530864197531,0.811597222222222,0.706183574879227
"MFKmL-C + kFDA",0.615462962962963,0.765,0.545308641975309,0.875902777777778,0.6981038647343
"Subspace",0.558796296296296,0.885833333333333,0.646543209876543,0.635138888888889,0.662342995169082
"DTW + medoid",0.618148148148148,0.731944444444444,0.582777777777778,0.726180555555556,0.656727053140097
"DD-classifier",0.617407407407407,0.628611111111111,0.650617283950617,0.672777777777778,0.651123188405797
"1NN-DDTW",0.48212962962963,0.828888888888889,0.554197530864198,0.737638888888889,0.644432367149758
"Euclid + medoid",0.599351851851852,0.634166666666667,0.652716049382716,0.619722222222222,0.631859903381643
"MFKmL-C + medoid",0.557685185185185,0.738888888888889,0.529814814814815,0.698402777777778,0.619359903381642
"MaxDepth-MBD",0.544722222222222,0.631944444444444,0.628395061728395,0.606527777777778,0.610338164251208
"DTW + DBA",0.500833333333333,0.874722222222222,0.50820987654321,0.627222222222222,0.596449275362319
"NC-DBA",0.500833333333333,0.874722222222222,0.50820987654321,0.627222222222222,0.596449275362319
"MaxDepth-MBD (w)",0.481481481481481,0.640555555555556,0.633641975308642,0.520694444444444,0.575410628019324
"MaxDepth-MFHD",0.348888888888889,0.625833333333333,0.449938271604938,0.3575,0.427548309178744
