"base","perturbed","method","n_pairs","mean_base","mean_pert","loss","t"
"Phase","Phase_nowarp","MFPLS-DA",100,0.395555555555555,1,-0.604444444444444,48.5803485560664
"Phase","Phase_nowarp","Euclid + SVM",100,0.402222222222222,1,-0.597777777777778,41.6657259072277
"Phase","Phase_nowarp","Euclid + centroid",100,0.424444444444444,0.999444444444444,-0.575,45.6568280320254
"Phase","Phase_nowarp","KmL3d-C (NC-Euclid)",100,0.424444444444444,0.999444444444444,-0.575,45.6568280320254
"Phase","Phase_nowarp","MFPCA-LDA",100,0.437222222222222,1,-0.562777777777778,44.2296700791963
"Phase","Phase_nowarp","Euclid + medoid",100,0.395,0.947777777777778,-0.552777777777778,41.5857859313811
"Phase","Phase_nowarp","Euclid + kFDA",100,0.472222222222222,1,-0.527777777777778,38.11567758874
"Phase","Phase_nowarp","DD-classifier",100,0.371666666666667,0.817222222222222,-0.445555555555556,26.6890381311305
"Phase","Phase_nowarp","MaxDepth-MBD",100,0.376666666666667,0.813888888888889,-0.437222222222222,29.9122302484604
"Phase","Phase_nowarp","MaxDepth-MBD (w)",100,0.39,0.813333333333333,-0.423333333333333,29.6119048592022
"Phase","Phase_nowarp","MaxDepth-MFHD",100,0.329444444444444,0.659444444444444,-0.33,20.9529770797457
"Phase","Phase_nowarp","MFPCA-SVM",100,0.682777777777778,1,-0.317222222222222,26.4725912042023
"Phase","Phase_nowarp","DTW + kFDA",100,0.712222222222222,1,-0.287777777777778,26.6238428962981
"Phase","Phase_nowarp","DistSpace-bagdist",100,0.713333333333333,1,-0.286666666666667,25.6886642404513
"Phase","Phase_nowarp","Euclid + kNN",100,0.716666666666667,0.996111111111111,-0.279444444444444,21.9704808607738
"Phase","Phase_nowarp","1NN-Euclid",100,0.722222222222222,0.993888888888889,-0.271666666666667,22.5440207856361
"Phase","Phase_nowarp","DTW + DBA",100,0.432222222222222,0.698888888888889,-0.266666666666667,17.5804769767975
"Phase","Phase_nowarp","NC-DBA",100,0.432222222222222,0.698888888888889,-0.266666666666667,17.5804769767975
"Phase","Phase_nowarp","SFKmL-C(dense) + mean",100,0.696111111111111,0.962222222222222,-0.266111111111111,21.7403106648684
"Phase","Phase_nowarp","Subspace",100,0.725555555555556,0.976666666666667,-0.251111111111111,20.5069726713553
"Phase","Phase_nowarp","DTW + medoid",100,0.556666666666667,0.791666666666667,-0.235,13.4055113110946
"Phase","Phase_nowarp","SFKmL-C + mean",100,0.775,0.991666666666667,-0.216666666666667,19.1408532404834
"Phase","Phase_nowarp","1NN-DDTW",100,0.551666666666667,0.761111111111111,-0.209444444444444,12.7933110226893
"Phase","Phase_nowarp","DTW + SVM",100,0.806111111111111,0.999444444444444,-0.193333333333333,21.2719196410994
"Phase","Phase_nowarp","SFKmL-C(dense) + kFDA",100,0.794444444444444,0.978333333333333,-0.183888888888889,14.6788928096734
"Phase","Phase_nowarp","MFKmL-C + SVM",100,0.598888888888889,0.778333333333333,-0.179444444444444,9.789695040998
"Phase","Phase_nowarp","DTW + kNN",100,0.813333333333333,0.974444444444444,-0.161111111111111,15.1032065904916
"Phase","Phase_nowarp","SFKmL-C(dense) + medoid",100,0.722777777777778,0.878333333333333,-0.155555555555555,10.944303439588
"Phase","Phase_nowarp","1NN-DTW",100,0.787777777777778,0.936111111111111,-0.148333333333333,12.2008278907264
"Phase","Phase_nowarp","MFKmL-C + kNN",100,0.641666666666667,0.776666666666667,-0.135,8.44076738054837
"Phase","Phase_nowarp","DistSpace-Frechet",100,0.861111111111111,0.984444444444444,-0.123333333333333,13.9936629925574
"Phase","Phase_nowarp","SFKmL-C + medoid",100,0.869444444444444,0.991666666666667,-0.122222222222222,13.7892297516162
"Phase","Phase_nowarp","SFKmL-C(gap) + medoid",100,0.877222222222222,0.992222222222222,-0.115,13.5657265134575
"Phase","Phase_nowarp","SFKmL-C(gaplab) + medoid",100,0.877777777777778,0.992222222222222,-0.114444444444445,13.6451015501062
"Phase","Phase_nowarp","MFKmL-C + kFDA",100,0.462777777777778,0.572777777777778,-0.11,7.28180614980395
"Phase","Phase_nowarp","SFKmL-C + kFDA",100,0.895,0.995,-0.1,13.5773645302101
"Phase","Phase_nowarp","MFKmL-C + medoid",100,0.463888888888889,0.555,-0.0911111111111112,5.43010154922253
"Phase","Phase_nowarp","SFKmL-C(dense) + kNN",100,0.897222222222222,0.987777777777778,-0.0905555555555556,12.6140816772527
"Phase","Phase_nowarp","SFKmL-C(dense) + SVM",100,0.935555555555555,1,-0.0644444444444446,11.0328456986639
"Phase","Phase_nowarp","MFKmL-C + mean",100,0.533333333333333,0.582222222222222,-0.0488888888888889,2.70398094150478
"Phase","Phase_nowarp","SFKmL-C + SVM",100,0.952777777777778,0.998888888888889,-0.0461111111111113,9.00475442128278
"Phase","Phase_nowarp","SFKmL-C + kNN",100,0.960555555555555,0.999444444444444,-0.038888888888889,8.38476879979927
"Setting2","Setting2_async","MaxDepth-MBD (w)",100,0.426111111111111,0.601111111111111,-0.175,10.783606972762
"Setting2","Setting2_async","Euclid + medoid",100,0.614444444444445,0.660555555555556,-0.0461111111111111,4.58721899815697
"Setting2","Setting2_async","MaxDepth-MBD",100,0.580555555555556,0.606111111111111,-0.0255555555555556,3.16714966561502
