"method_a","method_b","n_pairs","mean_a","mean_b","diff","sd","t","wins","ties","p_wilcox","scope"
"SFKmL-C + kNN","Euclid + kNN",2300,0.898900966183575,0.781727053140097,0.117173913043478,0.177958351354584,31.5774079500283,1663,370,1.26624345477086e-162,"ALL"
"SFKmL-C + kNN","Euclid + kNN",300,0.96962962962963,0.668333333333333,0.301296296296296,0.124960734022941,41.7619580580973,297,3,1.44159869563571e-50,"auxiliary"
"SFKmL-C + kNN","Euclid + kNN",300,0.670833333333333,0.829722222222222,-0.158888888888889,0.185363409839752,-14.8467072628647,17,112,4.6027383557235e-29,"coupled"
"SFKmL-C + kNN","Euclid + kNN",900,0.901481481481481,0.788148148148148,0.113333333333333,0.122101377320954,27.8457137388614,638,192,4.14997240683984e-96,"frechet"
"SFKmL-C + kNN","Euclid + kNN",800,0.955,0.799027777777778,0.155972222222222,0.113047290503313,39.0240280926808,711,63,3.28156038929735e-115,"paper"
"SFKmL-C(dense) + kNN","Euclid + kNN",2300,0.876473429951691,0.781727053140097,0.0947463768115941,0.153063075014599,29.6863015844526,1548,430,4.09242248947365e-151,"ALL"
"SFKmL-C(dense) + kNN","Euclid + kNN",300,0.855,0.668333333333333,0.186666666666667,0.150100094602247,21.5400364405466,264,17,1.9130999478172e-42,"auxiliary"
"SFKmL-C(dense) + kNN","Euclid + kNN",300,0.726666666666667,0.829722222222222,-0.103055555555556,0.156474646510607,-11.4074364253227,26,126,4.16493923849623e-22,"coupled"
"SFKmL-C(dense) + kNN","Euclid + kNN",900,0.859753086419753,0.788148148148148,0.0716049382716049,0.115220165751645,18.6438557359694,537,216,2.39041548698041e-56,"frechet"
"SFKmL-C(dense) + kNN","Euclid + kNN",800,0.959513888888889,0.799027777777778,0.160486111111111,0.109942026999794,41.2875114456955,721,71,3.98640734593083e-120,"paper"
"MFKmL-C + kNN","Euclid + kNN",2300,0.740724637681159,0.781727053140097,-0.0410024154589372,0.179465705834522,-10.9570057229346,871,414,6.88895523432255e-21,"ALL"
"MFKmL-C + kNN","Euclid + kNN",300,0.61962962962963,0.668333333333333,-0.0487037037037037,0.145057608131995,-5.81543363481043,86,43,3.28923531658488e-08,"auxiliary"
"MFKmL-C + kNN","Euclid + kNN",300,0.871666666666667,0.829722222222222,0.0419444444444445,0.108513984814331,6.69498120425057,113,154,4.59458335771631e-10,"coupled"
"MFKmL-C + kNN","Euclid + kNN",900,0.626111111111111,0.788148148148148,-0.162037037037037,0.177265185342301,-27.4228191041815,144,97,2.13546821076513e-95,"frechet"
"MFKmL-C + kNN","Euclid + kNN",800,0.865972222222222,0.799027777777778,0.0669444444444444,0.119428313697034,15.8544884924079,528,120,1.45993164786029e-43,"paper"
"SFKmL-C + kFDA","Euclid + kFDA",2300,0.887173913043478,0.859311594202898,0.0278623188405797,0.163647868283729,8.16527513676925,901,770,4.45792370971668e-17,"ALL"
"SFKmL-C + kFDA","Euclid + kFDA",300,0.966851851851852,0.827685185185185,0.139166666666667,0.110680254374717,21.7783866461488,239,56,1.82202788757237e-40,"auxiliary"
"SFKmL-C + kFDA","Euclid + kFDA",300,0.671111111111111,0.795555555555556,-0.124444444444444,0.178833150385905,-12.0528045293804,31,114,1.29366335878602e-23,"coupled"
"SFKmL-C + kFDA","Euclid + kFDA",900,0.866481481481481,0.802037037037037,0.0644444444444444,0.186331720375222,10.375760656533,420,221,1.08296138233391e-19,"frechet"
"SFKmL-C + kFDA","Euclid + kFDA",800,0.961597222222222,0.959513888888889,0.00208333333333332,0.0768493316478315,0.766767437469852,211,379,0.257064746096694,"paper"
"SFKmL-C + medoid","Euclid + medoid",2300,0.859855072463768,0.631859903381643,0.227995169082125,0.177193096277208,61.7081840105368,1978,203,0,"ALL"
"SFKmL-C + medoid","Euclid + medoid",300,0.951203703703704,0.599351851851852,0.351851851851852,0.139090031483619,43.8151661656916,297,1,8.65445838580144e-51,"auxiliary"
"SFKmL-C + medoid","Euclid + medoid",300,0.676388888888889,0.634166666666667,0.0422222222222222,0.151864011743,4.81556053063529,148,85,7.71125651999839e-06,"coupled"
"SFKmL-C + medoid","Euclid + medoid",900,0.839012345679012,0.652716049382716,0.186296296296296,0.167290063068282,33.4083733748591,750,104,1.13919030211704e-120,"frechet"
"SFKmL-C + medoid","Euclid + medoid",800,0.917847222222222,0.619722222222222,0.298125,0.131839437755212,63.9584672782498,783,13,1.83418935880945e-130,"paper"
"SFKmL-C + SVM","Euclid + SVM",2300,0.893961352657005,0.800700483091787,0.0932608695652174,0.170045953617767,26.3025028609498,1434,539,1.97650553213241e-139,"ALL"
"SFKmL-C + SVM","Euclid + SVM",300,0.9675,0.793333333333333,0.174166666666667,0.109839551500291,27.4641976893706,276,17,8.16089161414904e-47,"auxiliary"
"SFKmL-C + SVM","Euclid + SVM",300,0.659722222222222,0.697222222222222,-0.0375,0.185041324338964,-3.5101297245826,75,105,0.000326273639853677,"coupled"
"SFKmL-C + SVM","Euclid + SVM",900,0.889074074074074,0.786913580246913,0.10216049382716,0.19641976413471,15.6033932141008,521,225,3.34458434328826e-51,"frechet"
"SFKmL-C + SVM","Euclid + SVM",800,0.959722222222222,0.857777777777778,0.101944444444444,0.115846458926318,24.8900514142813,562,192,4.65278759264773e-85,"paper"
"SFKmL-C + kNN","DTW + kNN",2300,0.898900966183575,0.77048309178744,0.128417874396135,0.229995926551514,26.7774520801288,1549,455,1.44849103600392e-135,"ALL"
"SFKmL-C + kNN","DTW + kNN",300,0.96962962962963,0.681574074074074,0.288055555555555,0.119761834929072,41.6599209522957,297,2,1.03821905435087e-50,"auxiliary"
"SFKmL-C + kNN","DTW + kNN",300,0.670833333333333,0.894166666666667,-0.223333333333333,0.212337768969174,-18.2174222812526,5,104,1.60639777655667e-33,"coupled"
"SFKmL-C + kNN","DTW + kNN",900,0.901481481481481,0.676049382716049,0.225432098765432,0.208948813213833,32.3666014606262,702,161,7.57586629005846e-117,"frechet"
"SFKmL-C + kNN","DTW + kNN",800,0.955,0.863680555555555,0.0913194444444444,0.113305216510836,22.7959843012803,545,188,1.00094722728687e-72,"paper"
"SFKmL-C + kNN","1NN-DTW",2300,0.898900966183575,0.769178743961353,0.129722222222222,0.227999995630969,27.286225198638,1560,446,8.09444127674515e-139,"ALL"
"SFKmL-C + kNN","1NN-DTW",300,0.96962962962963,0.69537037037037,0.274259259259259,0.123048651304395,38.605134347074,292,7,7.59987826032648e-50,"auxiliary"
"SFKmL-C + kNN","1NN-DTW",300,0.670833333333333,0.886111111111111,-0.215277777777778,0.206551278308897,-18.0522750526871,3,106,2.15853041551852e-33,"coupled"
"SFKmL-C + kNN","1NN-DTW",900,0.901481481481481,0.664567901234568,0.236913580246914,0.206020613705886,34.4985255580003,738,135,7.76390090435009e-122,"frechet"
"SFKmL-C + kNN","1NN-DTW",800,0.955,0.870694444444444,0.0843055555555556,0.112454591579962,21.2043027100922,527,198,9.66475127501327e-68,"paper"
"DTW + kNN","Euclid + kNN",2300,0.77048309178744,0.781727053140097,-0.011243961352657,0.170530726465055,-3.16213654980428,968,608,0.666924950075772,"ALL"
"DTW + kNN","Euclid + kNN",300,0.681574074074074,0.668333333333333,0.0132407407407407,0.100973275087792,2.27125798117079,96,116,0.0777562310320457,"auxiliary"
"DTW + kNN","Euclid + kNN",300,0.894166666666667,0.829722222222222,0.0644444444444445,0.114511332569132,9.74759873446942,133,144,1.56172159394662e-18,"coupled"
"DTW + kNN","Euclid + kNN",900,0.676049382716049,0.788148148148148,-0.112098765432099,0.203308605877404,-16.5411736923268,225,169,1.42788569909392e-47,"frechet"
"DTW + kNN","Euclid + kNN",800,0.863680555555555,0.799027777777778,0.0646527777777777,0.0940435582489734,19.4447842852491,514,179,1.6022318514814e-59,"paper"
