"dataset","seed","fold","variable","w","rank","informative"
"Setting5",1,1,"V1",0.020204124149653,2,TRUE
"Setting5",1,1,"V2",0.999795875850339,1,TRUE
"Setting5",1,1,"N1",0,3,FALSE
"Setting5",1,1,"N2",0,4,FALSE
"Setting5",1,1,"N3",0,5,FALSE
"Setting5",1,2,"V1",0.0202041241496496,2,TRUE
"Setting5",1,2,"V2",0.999795875850339,1,TRUE
"Setting5",1,2,"N1",0,3,FALSE
"Setting5",1,2,"N2",0,4,FALSE
"Setting5",1,2,"N3",0,5,FALSE
"Setting5",1,3,"V1",0.138100644725057,2,TRUE
"Setting5",1,3,"V2",0.99041820052265,1,TRUE
"Setting5",1,3,"N1",0,3,FALSE
"Setting5",1,3,"N2",0,4,FALSE
"Setting5",1,3,"N3",0,5,FALSE
"Setting5",1,4,"V1",0.0202041241496618,2,TRUE
"Setting5",1,4,"V2",0.999795875850338,1,TRUE
"Setting5",1,4,"N1",0,3,FALSE
"Setting5",1,4,"N2",0,4,FALSE
"Setting5",1,4,"N3",0,5,FALSE
"Setting5",1,5,"V1",0.0202041241496505,2,TRUE
"Setting5",1,5,"V2",0.999795875850338,1,TRUE
"Setting5",1,5,"N1",0,3,FALSE
"Setting5",1,5,"N2",0,4,FALSE
"Setting5",1,5,"N3",0,5,FALSE
"Setting5",2,1,"V1",0.0202041241496233,2,TRUE
"Setting5",2,1,"V2",0.999795875850339,1,TRUE
"Setting5",2,1,"N1",0,3,FALSE
"Setting5",2,1,"N2",0,4,FALSE
"Setting5",2,1,"N3",0,5,FALSE
"Setting5",2,2,"V1",0.275831760470005,2,TRUE
"Setting5",2,2,"V2",0.961205930025412,1,TRUE
"Setting5",2,2,"N1",0,3,FALSE
"Setting5",2,2,"N2",0,4,FALSE
"Setting5",2,2,"N3",0,5,FALSE
"Setting5",2,3,"V1",0.138100644725058,2,TRUE
"Setting5",2,3,"V2",0.99041820052265,1,TRUE
"Setting5",2,3,"N1",0,3,FALSE
"Setting5",2,3,"N2",0,4,FALSE
"Setting5",2,3,"N3",0,5,FALSE
"Setting5",2,4,"V1",0.0202041241496455,2,TRUE
"Setting5",2,4,"V2",0.999795875850339,1,TRUE
"Setting5",2,4,"N1",0,3,FALSE
"Setting5",2,4,"N2",0,4,FALSE
"Setting5",2,4,"N3",0,5,FALSE
"Setting5",2,5,"V1",0.455133138636513,2,TRUE
"Setting5",2,5,"V2",0.890423397106611,1,TRUE
"Setting5",2,5,"N1",0,3,FALSE
"Setting5",2,5,"N2",0,4,FALSE
"Setting5",2,5,"N3",0,5,FALSE
"Setting5",3,1,"V1",0.0202041241496582,2,TRUE
"Setting5",3,1,"V2",0.999795875850338,1,TRUE
"Setting5",3,1,"N1",0,3,FALSE
"Setting5",3,1,"N2",0,4,FALSE
"Setting5",3,1,"N3",0,5,FALSE
"Setting5",3,2,"V1",0.138100644725059,2,TRUE
"Setting5",3,2,"V2",0.990418200522649,1,TRUE
"Setting5",3,2,"N1",0,3,FALSE
"Setting5",3,2,"N2",0,4,FALSE
"Setting5",3,2,"N3",0,5,FALSE
"Setting5",3,3,"V1",0.0202041241496658,2,TRUE
"Setting5",3,3,"V2",0.999795875850338,1,TRUE
"Setting5",3,3,"N1",0,3,FALSE
"Setting5",3,3,"N2",0,4,FALSE
"Setting5",3,3,"N3",0,5,FALSE
"Setting5",3,4,"V1",0.275831760470001,2,TRUE
"Setting5",3,4,"V2",0.961205930025413,1,TRUE
"Setting5",3,4,"N1",0,3,FALSE
"Setting5",3,4,"N2",0,4,FALSE
"Setting5",3,4,"N3",0,5,FALSE
"Setting5",3,5,"V1",0.275831760470007,2,TRUE
"Setting5",3,5,"V2",0.961205930025412,1,TRUE
"Setting5",3,5,"N1",0,3,FALSE
"Setting5",3,5,"N2",0,4,FALSE
"Setting5",3,5,"N3",0,5,FALSE
"Setting5",4,1,"V1",0.890423397106728,1,TRUE
"Setting5",4,1,"V2",0.455133138636284,2,TRUE
"Setting5",4,1,"N1",0,3,FALSE
"Setting5",4,1,"N2",0,4,FALSE
"Setting5",4,1,"N3",0,5,FALSE
"Setting5",4,2,"V1",0.770995127262404,1,TRUE
"Setting5",4,2,"V2",0.635808916423657,2,TRUE
"Setting5",4,2,"N1",0.0335413707606092,3,FALSE
"Setting5",4,2,"N2",0.0137299665441631,4,FALSE
"Setting5",4,2,"N3",0,5,FALSE
"Setting5",4,3,"V1",0.710116213581943,1,TRUE
"Setting5",4,3,"V2",0.70288541760752,2,TRUE
"Setting5",4,3,"N1",0.0410737498013696,3,FALSE
"Setting5",4,3,"N2",0,4,FALSE
"Setting5",4,3,"N3",0,5,FALSE
"Setting5",4,4,"V1",0.890423397106652,1,TRUE
"Setting5",4,4,"V2",0.455133138636433,2,TRUE
"Setting5",4,4,"N1",0,3,FALSE
"Setting5",4,4,"N2",0,4,FALSE
"Setting5",4,4,"N3",0,5,FALSE
"Setting5",4,5,"V1",0.2758317604774,2,TRUE
"Setting5",4,5,"V2",0.96120593002329,1,TRUE
"Setting5",4,5,"N1",0,3,FALSE
"Setting5",4,5,"N2",0,4,FALSE
"Setting5",4,5,"N3",0,5,FALSE
"Setting5",5,1,"V1",0.455133138636516,2,TRUE
"Setting5",5,1,"V2",0.890423397106609,1,TRUE
"Setting5",5,1,"N1",0,3,FALSE
"Setting5",5,1,"N2",0,4,FALSE
"Setting5",5,1,"N3",0,5,FALSE
"Setting5",5,2,"V1",0.0202041241496615,2,TRUE
"Setting5",5,2,"V2",0.999795875850338,1,TRUE
"Setting5",5,2,"N1",0,3,FALSE
"Setting5",5,2,"N2",0,4,FALSE
"Setting5",5,2,"N3",0,5,FALSE
"Setting5",5,3,"V1",0.455133138636516,2,TRUE
"Setting5",5,3,"V2",0.890423397106609,1,TRUE
"Setting5",5,3,"N1",0,3,FALSE
"Setting5",5,3,"N2",0,4,FALSE
