"base","seed","fold","n_noise","distance","p","n_sel","k_sel","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"Setting1",1,1,0,"SFCL",2,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",1,1,0,"MFCL",2,2,3,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.0610340160371172,0.0493827160493827
"Setting1",1,2,0,"SFCL",2,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting1",1,2,0,"MFCL",2,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting1",1,3,0,"SFCL",2,2,5,1,1,1,1,1,1,1,NA,0.077966657167935,0.0355555555555556
"Setting1",1,3,0,"MFCL",2,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting1",1,4,0,"SFCL",2,2,5,1,1,1,1,1,1,1,NA,0,0
"Setting1",1,4,0,"MFCL",2,2,1,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222
"Setting1",1,5,0,"SFCL",2,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",1,5,0,"MFCL",2,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting1",1,1,2,"SFCL",4,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",1,1,2,"MFCL",4,2,5,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.885714285714286,0.888888888888889,0.833333333333333,NA,0.216967330372987,0.128888888888889
"Setting1",1,2,2,"SFCL",4,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting1",1,2,2,"MFCL",4,2,11,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.657142857142857,0.666666666666667,0.5,NA,0.387157894582726,0.269972451790634
"Setting1",1,3,2,"SFCL",4,2,5,1,1,1,1,1,1,1,NA,0.077966657167935,0.0355555555555556
"Setting1",1,3,2,"MFCL",4,2,1,0.833333333333333,0.833333333333333,0.838095238095238,0.833333333333333,0.832167832167832,0.833333333333333,0.75,NA,5.75646273248511,0.333333333333333
"Setting1",1,4,2,"SFCL",4,2,5,1,1,1,1,1,1,1,NA,0,0
"Setting1",1,4,2,"MFCL",4,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting1",1,5,2,"SFCL",4,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",1,5,2,"MFCL",4,2,11,0.722222222222222,0.722222222222222,0.740740740740741,0.722222222222222,0.703703703703704,0.722222222222222,0.583333333333333,NA,0.404952744569829,0.278236914600551
"Setting1",1,1,4,"SFCL",6,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting1",1,1,4,"MFCL",6,2,3,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.17366321273383,0.111111111111111
"Setting1",1,2,4,"SFCL",6,2,3,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.0610340160371172,0.0493827160493827
"Setting1",1,2,4,"MFCL",6,2,7,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.885714285714286,0.888888888888889,0.833333333333333,NA,0.386101500731002,0.256235827664399
