"dataset","seed","fold","n_var","n_info_included","k_sel","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"Setting5",1,1,1,1,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",1,1,2,2,7,1,1,1,1,1,1,1,NA,0.0482176193105522,0.0249433106575964
"Setting5",1,1,3,2,3,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.0610340160371172,0.0493827160493827
"Setting5",1,1,4,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",1,1,5,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",1,2,1,1,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",1,2,2,2,1,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.891774891774892,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222
"Setting5",1,2,3,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",1,2,4,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",1,2,5,2,7,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.891774891774892,0.888888888888889,0.833333333333333,NA,0.185181459305591,0.111111111111111
"Setting5",1,3,1,1,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",1,3,2,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",1,3,3,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",1,3,4,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",1,3,5,2,3,0.888888888888889,0.888888888888889,0.896825396825397,0.888888888888889,0.888500388500388,0.888888888888889,0.833333333333333,NA,0.167119710752919,0.123456790123457
"Setting5",1,4,1,1,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",1,4,2,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",1,4,3,2,3,1,1,1,1,1,1,1,NA,0.0225258393393425,0.0123456790123457
"Setting5",1,4,4,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",1,4,5,2,3,1,1,1,1,1,1,1,NA,0.0675775180180274,0.037037037037037
"Setting5",1,5,1,1,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",1,5,2,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",1,5,3,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",1,5,4,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",1,5,5,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",2,1,1,1,3,1,1,1,1,1,1,1,NA,0,0
"Setting5",2,1,2,2,5,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.0916811059419086,0.0622222222222222
"Setting5",2,1,3,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",2,1,4,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",2,1,5,2,1,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.885714285714286,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222
"Setting5",2,2,1,1,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",2,2,2,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",2,2,3,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",2,2,4,2,3,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.885714285714286,0.888888888888889,0.833333333333333,NA,0.122068032074234,0.0987654320987654
"Setting5",2,2,5,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",2,3,1,1,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",2,3,2,2,1,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222
"Setting5",2,3,3,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",2,3,4,2,1,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222
"Setting5",2,3,5,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",2,4,1,1,5,1,1,1,1,1,1,1,NA,0.0283792013203328,0.0177777777777778
"Setting5",2,4,2,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",2,4,3,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",2,4,4,2,1,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.885714285714286,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222
"Setting5",2,4,5,2,1,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.885714285714286,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222
"Setting5",2,5,1,1,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",2,5,2,2,3,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.106085694715802,0.0740740740740741
"Setting5",2,5,3,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",2,5,4,2,3,0.888888888888889,0.888888888888889,0.916666666666667,0.888888888888889,0.885714285714286,0.888888888888889,0.833333333333333,NA,2.02490660554417,0.185185185185185
"Setting5",2,5,5,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",3,1,1,1,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",3,1,2,2,1,1,1,1,1,1,1,1,NA,0,0
"Setting5",3,1,3,2,3,1,1,1,1,1,1,1,NA,0,0
"Setting5",3,1,4,2,7,1,1,1,1,1,1,1,NA,0.0754744480021339,0.036281179138322
"Setting5",3,1,5,2,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,1.91882091082837,0.111111111111111
"Setting5",3,2,1,1,1,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222
"Setting5",3,2,2,2,1,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.833333333333333,NA,3.83764182165674,0.222222222222222
"Setting5",3,2,3,2,5,1,1,1,1,1,1,1,NA,0.1223281958467,0.0622222222222222
"Setting5",3,2,4,2,7,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.145072390696321,0.0861678004535147
"Setting5",3,2,5,2,7,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.17549516001977,0.0839002267573696
"Setting5",3,3,1,1,3,1,1,1,1,1,1,1,NA,0,0
"Setting5",3,3,2,2,5,1,1,1,1,1,1,1,NA,0.0123968639619005,0.00444444444444444
"Setting5",3,3,3,2,5,1,1,1,1,1,1,1,NA,0.0407760652822334,0.0222222222222222
"Setting5",3,3,4,2,7,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.0914567853605662,0.0521541950113379
"Setting5",3,3,5,2,7,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.108584638674706,0.0566893424036281
"Setting5",3,4,1,1,3,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.0835598553764597,0.0617283950617284
"Setting5",3,4,2,2,1,1,1,1,1,1,1,1,NA,0,0
