"dataset","seed","fold","s","n_sel","p","n_info_selected","info_share","k_sel","gamma_sel","bal_acc_knn","acc_knn","macro_f1_knn","bal_acc_kfda","acc_kfda","macro_f1_kfda"
"Setting5",1,1,1.02,2,5,2,1,1,0.125,1,1,1,1,1,1
"Setting5",1,1,1.14103247394714,2,5,2,1,3,0.125,1,1,1,1,1,1
"Setting5",1,1,1.27642657509994,2,5,2,1,1,0.125,1,1,1,1,1,1
"Setting5",1,1,1.42788644391977,3,5,2,0.666666666666667,7,0.125,1,1,1,1,1,1
"Setting5",1,1,1.59731843296212,5,5,2,0.4,5,0.25,1,1,1,1,1,1
"Setting5",1,1,1.78685510121975,5,5,2,0.4,5,0.25,1,1,1,1,1,1
"Setting5",1,1,1.9988820556175,5,5,2,0.4,5,0.25,1,1,1,1,1,1
"Setting5",1,1,2.23606797749979,5,5,2,0.4,5,0.25,1,1,1,1,1,1
"Setting5",1,2,1.02,2,5,2,1,1,0.5,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",1,2,1.14103247394714,2,5,2,1,1,0.25,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",1,2,1.27642657509994,2,5,2,1,1,0.125,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",1,2,1.42788644391977,5,5,2,0.4,1,1,0.888888888888889,0.888888888888889,0.891774891774892,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",1,2,1.59731843296212,5,5,2,0.4,1,1,0.888888888888889,0.888888888888889,0.891774891774892,1,1,1
"Setting5",1,2,1.78685510121975,5,5,2,0.4,1,1,0.888888888888889,0.888888888888889,0.891774891774892,1,1,1
"Setting5",1,2,1.9988820556175,5,5,2,0.4,1,1,0.888888888888889,0.888888888888889,0.891774891774892,1,1,1
"Setting5",1,2,2.23606797749979,5,5,2,0.4,1,1,0.888888888888889,0.888888888888889,0.891774891774892,1,1,1
"Setting5",1,3,1.02,2,5,2,1,1,0.5,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",1,3,1.14103247394714,2,5,2,1,3,1,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",1,3,1.27642657509994,2,5,2,1,1,1,0.944444444444444,0.944444444444444,0.944055944055944,1,1,1
"Setting5",1,3,1.42788644391977,5,5,2,0.4,1,0.125,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",1,3,1.59731843296212,5,5,2,0.4,1,0.25,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",1,3,1.78685510121975,5,5,2,0.4,1,0.25,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",1,3,1.9988820556175,5,5,2,0.4,1,0.25,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",1,3,2.23606797749979,5,5,2,0.4,1,0.25,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",1,4,1.02,2,5,2,1,1,0.25,1,1,1,1,1,1
"Setting5",1,4,1.14103247394714,2,5,2,1,3,0.125,1,1,1,1,1,1
"Setting5",1,4,1.27642657509994,2,5,2,1,1,0.125,1,1,1,1,1,1
"Setting5",1,4,1.42788644391977,5,5,2,0.4,11,1,1,1,1,1,1,1
"Setting5",1,4,1.59731843296212,5,5,2,0.4,1,1,1,1,1,1,1,1
"Setting5",1,4,1.78685510121975,5,5,2,0.4,1,1,1,1,1,1,1,1
"Setting5",1,4,1.9988820556175,5,5,2,0.4,1,1,1,1,1,1,1,1
"Setting5",1,4,2.23606797749979,5,5,2,0.4,1,1,1,1,1,1,1,1
"Setting5",1,5,1.02,2,5,2,1,1,0.125,1,1,1,1,1,1
"Setting5",1,5,1.14103247394714,2,5,2,1,1,0.125,1,1,1,1,1,1
"Setting5",1,5,1.27642657509994,2,5,2,1,3,0.125,1,1,1,1,1,1
"Setting5",1,5,1.42788644391977,5,5,2,0.4,1,1,1,1,1,1,1,1
"Setting5",1,5,1.59731843296212,5,5,2,0.4,1,1,1,1,1,1,1,1
"Setting5",1,5,1.78685510121975,5,5,2,0.4,1,1,1,1,1,1,1,1
"Setting5",1,5,1.9988820556175,5,5,2,0.4,1,1,1,1,1,1,1,1
"Setting5",1,5,2.23606797749979,5,5,2,0.4,1,1,1,1,1,1,1,1
"Setting5",2,1,1.02,2,5,2,1,3,0.125,1,1,1,1,1,1
"Setting5",2,1,1.14103247394714,2,5,2,1,3,0.125,1,1,1,1,1,1
"Setting5",2,1,1.27642657509994,2,5,2,1,5,2,1,1,1,1,1,1
"Setting5",2,1,1.42788644391977,4,5,2,0.5,5,0.125,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,1,1.59731843296212,5,5,2,0.4,1,0.5,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,1,1.78685510121975,5,5,2,0.4,1,0.5,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,1,1.9988820556175,5,5,2,0.4,1,0.5,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,1,2.23606797749979,5,5,2,0.4,1,0.5,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,1.02,2,5,2,1,1,0.25,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,1.14103247394714,2,5,2,1,1,0.125,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,1.27642657509994,2,5,2,1,1,0.125,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,1.42788644391977,4,5,2,0.5,1,1,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,1.59731843296212,5,5,2,0.4,1,1,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,1.78685510121975,5,5,2,0.4,1,1,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
"Setting5",2,2,1.9988820556175,5,5,2,0.4,1,1,0.944444444444444,0.944444444444444,0.944055944055944,0.944444444444444,0.944444444444444,0.944055944055944
