"dataset","method","contrast","diff","n","t","wins"
"Phase","SFKmL-C + kNN","cv - rule",-0.00333333333333333,100,-1.09655330458558,7
"Phase","SFKmL-C + kNN","align - rule",-0.00333333333333334,100,-1.17898922837489,7
"Phase","SFKmL-C + kFDA","cv - rule",-0.00222222222222219,100,-0.357640848819291,20
"Phase","SFKmL-C + kFDA","align - rule",0.00111111111111115,100,0.237915475715452,20
"Phase","SFKmL-C + medoid","cv - rule",-0.00833333333333331,100,-1.14216408602895,23
"Phase","SFKmL-C + medoid","align - rule",-0.00611111111111109,100,-1.13013939622946,14
"Phase","MFKmL-C + kNN","cv - rule",0.00277777777777776,100,0.374203538923857,22
"Phase","MFKmL-C + kNN","align - rule",-1.83179575566177e-17,100,-4.10088096951455e-15,11
"Phase","MFKmL-C + kFDA","cv - rule",-0.00555555555555554,100,-0.799193141499195,21
"Phase","MFKmL-C + kFDA","align - rule",-1.10916050649612e-18,100,-3.06520732413386e-16,14
"Phase","MFKmL-C + medoid","cv - rule",0.00388888888888891,100,0.86716574987807,10
"Phase","MFKmL-C + medoid","align - rule",-0.00166666666666665,100,-0.773036553520247,3
"Phase_nowarp","SFKmL-C + kNN","cv - rule",0.00111111111111112,100,1.42141062443803,2
"Phase_nowarp","SFKmL-C + kNN","align - rule",0,100,NA,0
"Phase_nowarp","SFKmL-C + kFDA","cv - rule",0.0150000000000001,100,4.37474854374539,23
"Phase_nowarp","SFKmL-C + kFDA","align - rule",-0.00111111111111112,100,-1,1
"Phase_nowarp","SFKmL-C + medoid","cv - rule",0.0172222222222223,100,4.794370339614,29
"Phase_nowarp","SFKmL-C + medoid","align - rule",-0.00166666666666667,100,-1.34709463332024,1
"Phase_nowarp","MFKmL-C + kNN","cv - rule",0.0572222222222221,100,6.54864673032617,48
"Phase_nowarp","MFKmL-C + kNN","align - rule",-0.00166666666666665,100,-1.34709463332022,1
"Phase_nowarp","MFKmL-C + kFDA","cv - rule",0.0888888888888889,100,6.48842567762677,60
"Phase_nowarp","MFKmL-C + kFDA","align - rule",0.00222222222222223,100,1.06981712012859,8
"Phase_nowarp","MFKmL-C + medoid","cv - rule",0.0433333333333334,100,4.97698271712957,47
"Phase_nowarp","MFKmL-C + medoid","align - rule",9.99202077415356e-18,100,1.26540175621247e-14,1
"Setting2_async","SFKmL-C + kNN","cv - rule",0.0166666666666666,100,2.5882905787992,28
"Setting2_async","SFKmL-C + kNN","align - rule",0.00888888888888889,100,1.3022793392802,26
"Setting2_async","SFKmL-C + kFDA","cv - rule",-0.0166666666666666,100,-1.90702246811031,28
"Setting2_async","SFKmL-C + kFDA","align - rule",-0.000555555555555531,100,-0.0919905524049684,20
