"dataset","method","family","needs_grid","seed","fold","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier","k_sel","gamma_sel","s_sel","n_sel","lambda","seconds","ok","error","lambda_method"
"Phase","SFKmL-C + kNN","proposed",FALSE,1,1,1,1,1,1,1,1,1,NA,0.0675775180180274,0.037037037037037,3,1,1.12851884524771,2,0.344827586206897,0.114818811416626,TRUE,"","rule"
"Phase","SFKmL-C + kFDA","proposed",FALSE,1,1,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.651734939355844,0.348519293410823,NA,1,1.12851884524771,2,0.344827586206897,0.0166730880737305,TRUE,"","rule"
"Phase","SFKmL-C + medoid","proposed",FALSE,1,1,1,1,1,1,1,1,1,NA,0.799163188984673,0.457088238545014,NA,1,1.12851884524771,2,0.344827586206897,0.0269298553466797,TRUE,"","rule"
"Phase","MFKmL-C + kNN","proposed",FALSE,1,1,0.833333333333333,0.833333333333333,0.849206349206349,0.833333333333333,0.837218337218337,0.833333333333333,0.75,NA,0.544233273670461,0.315555555555556,5,1,2.23606797749979,5,0.344827586206897,0.0109190940856934,TRUE,"","rule"
"Phase","MFKmL-C + kFDA","proposed",FALSE,1,1,0.722222222222222,0.722222222222222,0.723809523809524,0.722222222222222,0.72027972027972,0.722222222222222,0.583333333333333,NA,0.837944698781351,0.492152037907977,NA,1,2.23606797749979,5,0.344827586206897,0.0028989315032959,TRUE,"","rule"
"Phase","MFKmL-C + medoid","proposed",FALSE,1,1,0.444444444444444,0.444444444444444,0.483333333333333,0.444444444444444,0.458874458874459,0.444444444444444,0.166666666666667,NA,1.07226356878683,0.649669114753374,NA,1,2.23606797749979,5,0.344827586206897,0.000295877456665039,TRUE,"","rule"
"Phase","SFKmL-C + kNN","proposed",FALSE,1,2,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.128611534055145,0.0864197530864198,3,1,1.12851884524771,2,0.344827586206897,0.0358920097351074,TRUE,"","rule"
"Phase","SFKmL-C + kFDA","proposed",FALSE,1,2,0.833333333333333,0.833333333333333,0.888888888888889,0.833333333333333,0.836363636363636,0.833333333333333,0.75,NA,0.749269783508223,0.418112329629072,NA,1,1.12851884524771,2,0.344827586206897,0.0171158313751221,TRUE,"","rule"
"Phase","SFKmL-C + medoid","proposed",FALSE,1,2,0.944444444444444,0.944444444444444,0.952380952380952,0.944444444444444,0.944055944055944,0.944444444444444,0.916666666666667,NA,0.847414687755625,0.49156089699606,NA,1,1.12851884524771,2,0.344827586206897,0.0129289627075195,TRUE,"","rule"
"Phase","MFKmL-C + kNN","proposed",FALSE,1,2,0.611111111111111,0.611111111111111,0.708994708994709,0.611111111111111,0.594017094017094,0.611111111111111,0.416666666666667,NA,0.915312771972059,0.537722908093278,9,1,2.23606797749979,5,0.344827586206897,0.0111181735992432,TRUE,"","rule"
"Phase","MFKmL-C + kFDA","proposed",FALSE,1,2,0.277777777777778,0.277777777777778,0.37037037037037,0.277777777777778,0.303703703703704,0.277777777777778,-0.0833333333333333,NA,1.063295412255,0.660108151819381,NA,1,2.23606797749979,5,0.344827586206897,0.00275611877441406,TRUE,"","rule"
"Phase","MFKmL-C + medoid","proposed",FALSE,1,2,0.333333333333333,0.333333333333333,0.361111111111111,0.333333333333333,0.33968253968254,0.333333333333333,0,NA,1.09474620892501,0.664610243254029,NA,1,2.23606797749979,5,0.344827586206897,0.000251054763793945,TRUE,"","rule"
