"dataset","seed","fold","n_var","k_sel","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"Epilepsy",1,1,1,1,0.767857142857143,0.768452380952381,0.771499060150376,0.768452380952381,0.748031971409253,0.767857142857143,0.690344534240749,NA,8.01793023453284,0.464285714285714
"Epilepsy",1,1,2,1,0.910714285714286,0.913095238095238,0.907967032967033,0.913095238095238,0.908610865507417,0.910714285714286,0.880901743938749,NA,3.08381932097417,0.178571428571429
"Epilepsy",1,1,3,1,0.910714285714286,0.913095238095238,0.920833333333333,0.913095238095238,0.908998357963875,0.910714285714286,0.881104033970276,NA,3.08381932097417,0.178571428571429
"Epilepsy",1,2,1,1,0.892857142857143,0.895238095238095,0.904017857142857,0.895238095238095,0.888692462524498,0.892857142857143,0.857264231096007,NA,3.700583185169,0.214285714285714
"Epilepsy",1,2,2,1,0.821428571428571,0.823809523809524,0.855882352941176,0.823809523809524,0.802083333333333,0.821428571428571,0.762308998302207,NA,6.16763864194834,0.357142857142857
"Epilepsy",1,2,3,1,0.946428571428571,0.947619047619048,0.945054945054945,0.947619047619048,0.944370763336281,0.946428571428571,0.92854104636325,NA,1.8502915925845,0.107142857142857
"Epilepsy",1,3,1,1,0.75,0.75297619047619,0.766748366013072,0.75297619047619,0.739339826839827,0.75,0.667514843087362,NA,8.63469409872767,0.5
"Epilepsy",1,3,2,1,0.857142857142857,0.863095238095238,0.867175716440422,0.863095238095238,0.856242895035998,0.857142857142857,0.810089020771513,NA,4.93411091355867,0.285714285714286
"Epilepsy",1,3,3,1,0.928571428571429,0.929761904761905,0.933035714285714,0.929761904761905,0.926575682382134,0.928571428571429,0.904640272456364,NA,2.46705545677933,0.142857142857143
"Epilepsy",1,4,1,1,0.907407407407407,0.906410256410256,0.91875,0.906410256410256,0.90257412838058,0.907407407407407,0.876316994961063,NA,3.19803485138062,0.185185185185185
"Epilepsy",1,4,2,1,0.851851851851852,0.842948717948718,0.85124299719888,0.842948717948718,0.834728669319187,0.851851851851852,0.801743919229004,NA,5.11685576220899,0.296296296296296
"Epilepsy",1,4,3,1,0.888888888888889,0.881410256410256,0.887946428571429,0.881410256410256,0.879895350091703,0.888888888888889,0.851512373968836,NA,3.83764182165674,0.222222222222222
"Epilepsy",1,5,1,1,0.830188679245283,0.833791208791209,0.860167464114832,0.833791208791209,0.829941301750558,0.830188679245283,0.774468085106383,NA,5.86507523687163,0.339622641509434
"Epilepsy",1,5,2,1,0.905660377358491,0.904990842490842,0.906364468864469,0.904990842490842,0.903760683760684,0.905660377358491,0.874228761271951,NA,3.25837513159535,0.188679245283019
"Epilepsy",1,5,3,3,0.849056603773585,0.850045787545788,0.853846153846154,0.850045787545788,0.849973474801061,0.849056603773585,0.798670465337132,NA,0.850326757968766,0.184486373165618
"Epilepsy",2,1,1,1,0.875,0.879761904761905,0.883928571428571,0.879761904761905,0.873940886699507,0.875,0.833545647558386,NA,4.31734704936384,0.25
"Epilepsy",2,1,2,1,0.892857142857143,0.892261904761905,0.894345238095238,0.892261904761905,0.892781000052969,0.892857142857143,0.856777493606138,NA,3.700583185169,0.214285714285714
"Epilepsy",2,1,3,1,0.910714285714286,0.910119047619048,0.910714285714286,0.910119047619048,0.907967032967033,0.910714285714286,0.880952380952381,NA,3.08381932097417,0.178571428571429
"Epilepsy",2,2,1,1,0.803571428571429,0.804166666666667,0.83015350877193,0.804166666666667,0.794556240941113,0.803571428571429,0.739093604404913,NA,6.78440250614317,0.392857142857143
"Epilepsy",2,2,2,3,0.839285714285714,0.841666666666667,0.863725490196078,0.841666666666667,0.824604885057471,0.839285714285714,0.78589634664401,NA,3.25431418748171,0.285714285714286
"Epilepsy",2,2,3,1,0.928571428571429,0.929761904761905,0.934375,0.929761904761905,0.925537016438018,0.928571428571429,0.904761904761905,NA,2.46705545677933,0.142857142857143
"Epilepsy",2,3,1,1,0.803571428571429,0.80952380952381,0.810494652406417,0.80952380952381,0.799632936507937,0.803571428571429,0.738428874734607,NA,6.78440250614317,0.392857142857143
"Epilepsy",2,3,2,1,0.928571428571429,0.926785714285714,0.926785714285714,0.926785714285714,0.926785714285714,0.928571428571429,0.904518329070759,NA,2.46705545677933,0.142857142857143
"Epilepsy",2,3,3,1,0.928571428571429,0.930952380952381,0.927197802197802,0.930952380952381,0.927129384025936,0.928571428571429,0.904721395151,NA,2.46705545677933,0.142857142857143
"Epilepsy",2,4,1,1,0.907407407407407,0.908974358974359,0.907034632034632,0.908974358974359,0.904619805481874,0.907407407407407,0.876430205949657,NA,3.19803485138062,0.185185185185185
"Epilepsy",2,4,2,1,0.944444444444444,0.943681318681319,0.944310897435897,0.943681318681319,0.942676224611709,0.944444444444444,0.925756186984418,NA,1.91882091082837,0.111111111111111
"Epilepsy",2,4,3,1,0.907407407407407,0.90521978021978,0.909873949579832,0.90521978021978,0.901537145423015,0.907407407407407,0.876203576341128,NA,3.19803485138062,0.185185185185185
"Epilepsy",2,5,1,1,0.811320754716981,0.811813186813187,0.861538461538462,0.811813186813187,0.799098440545809,0.811320754716981,0.749171793658306,NA,6.5167502631907,0.377358490566038
"Epilepsy",2,5,2,1,0.811320754716981,0.807692307692308,0.861111111111111,0.807692307692308,0.7625,0.811320754716981,0.748338081671415,NA,6.5167502631907,0.377358490566038
"Epilepsy",2,5,3,1,0.943396226415094,0.942307692307692,0.95,0.942307692307692,0.939613526570048,0.943396226415094,0.92453725676317,NA,1.95502507895721,0.113207547169811
"Epilepsy",3,1,1,1,0.821428571428571,0.826190476190476,0.826470588235294,0.826190476190476,0.816298261125847,0.821428571428571,0.762611275964392,NA,6.16763864194834,0.357142857142857
"Epilepsy",3,1,2,1,0.821428571428571,0.825,0.825083542188805,0.825,0.812963427788368,0.821428571428571,0.761397528760119,NA,6.16763864194834,0.357142857142857
"Epilepsy",3,1,3,1,0.928571428571429,0.930952380952381,0.930952380952381,0.930952380952381,0.928205128205128,0.928571428571429,0.90468085106383,NA,2.46705545677933,0.142857142857143
"Epilepsy",3,2,1,1,0.821428571428571,0.820833333333333,0.849264705882353,0.820833333333333,0.807934742306266,0.821428571428571,0.762107051826678,NA,6.16763864194834,0.357142857142857
"Epilepsy",3,2,2,1,0.803571428571429,0.8,0.829861111111111,0.8,0.789779515585967,0.803571428571429,0.737649063032368,NA,6.78440250614317,0.392857142857143
"Epilepsy",3,2,3,1,0.892857142857143,0.895238095238095,0.898106060606061,0.895238095238095,0.888998357963875,0.892857142857143,0.857324840764331,NA,3.700583185169,0.214285714285714
"Epilepsy",3,3,1,1,0.821428571428571,0.826190476190476,0.836192810457516,0.826190476190476,0.815737292644001,0.821428571428571,0.762308998302207,NA,6.16763864194834,0.357142857142857
"Epilepsy",3,3,2,1,0.857142857142857,0.858333333333333,0.876838235294118,0.858333333333333,0.841133832565284,0.857142857142857,0.809442790301999,NA,4.93411091355867,0.285714285714286
"Epilepsy",3,3,3,1,0.910714285714286,0.911904761904762,0.920833333333333,0.911904761904762,0.905952380952381,0.910714285714286,0.881053525913339,NA,3.08381932097417,0.178571428571429
