"dataset","seed","fold","s","n_sel","p","k_sel","gamma_sel","bal_acc_knn","acc_knn","macro_f1_knn","bal_acc_kfda","acc_kfda","macro_f1_kfda"
"Epilepsy",1,1,1.02,2,3,1,0.25,0.820833333333333,0.821428571428571,0.810974037867944,0.744642857142857,0.75,0.742162162162162
"Epilepsy",1,1,1.10014939791998,3,3,1,0.5,0.85952380952381,0.857142857142857,0.84799535716013,0.858333333333333,0.857142857142857,0.851111111111111
"Epilepsy",1,1,1.18659676249382,3,3,1,1,0.894047619047619,0.892857142857143,0.885744339811661,0.858333333333333,0.857142857142857,0.844771241830065
"Epilepsy",1,1,1.27983697434448,3,3,1,0.125,0.894047619047619,0.892857142857143,0.885744339811661,0.894047619047619,0.892857142857143,0.886624396135266
"Epilepsy",1,1,1.3804038007459,3,3,1,0.125,0.877380952380952,0.875,0.868452380952381,0.929761904761905,0.928571428571429,0.926575682382134
"Epilepsy",1,1,1.48887295125201,3,3,1,0.125,0.877380952380952,0.875,0.868452380952381,0.96547619047619,0.964285714285714,0.96547619047619
"Epilepsy",1,1,1.60586537343063,3,3,1,8,0.877380952380952,0.875,0.868534482758621,0.911904761904762,0.910714285714286,0.907741935483871
"Epilepsy",1,1,1.73205080756888,3,3,1,8,0.929761904761905,0.928571428571429,0.925555555555556,0.914285714285714,0.910714285714286,0.911054257817328
"Epilepsy",1,2,1.02,2,3,1,1,0.911904761904762,0.910714285714286,0.905824372759857,0.802380952380952,0.803571428571429,0.800160256410256
"Epilepsy",1,2,1.10014939791998,2,3,1,1,0.911904761904762,0.910714285714286,0.905933841834843,0.875595238095238,0.875,0.87364808635109
"Epilepsy",1,2,1.18659676249382,3,3,1,2,0.855357142857143,0.857142857142857,0.846742171436276,0.894047619047619,0.892857142857143,0.888731352798674
"Epilepsy",1,2,1.27983697434448,3,3,1,8,0.87202380952381,0.875,0.862117720988689,0.841666666666667,0.839285714285714,0.825839035516455
"Epilepsy",1,2,1.3804038007459,3,3,1,0.125,0.889880952380952,0.892857142857143,0.883226845358683,0.839880952380952,0.839285714285714,0.834214456391876
"Epilepsy",1,2,1.48887295125201,3,3,3,2,0.913095238095238,0.910714285714286,0.909039408866995,0.929761904761905,0.928571428571429,0.927741935483871
"Epilepsy",1,2,1.60586537343063,3,3,3,1,0.930952380952381,0.928571428571429,0.926587301587302,0.894642857142857,0.892857142857143,0.89175697865353
"Epilepsy",1,2,1.73205080756888,3,3,1,1,0.964285714285714,0.964285714285714,0.961538461538461,0.876785714285714,0.875,0.873852849659301
"Epilepsy",1,3,1.02,2,3,1,8,0.736309523809524,0.732142857142857,0.723345203183913,0.655952380952381,0.660714285714286,0.655293631100083
"Epilepsy",1,3,1.10014939791998,3,3,1,0.125,0.7875,0.785714285714286,0.77741935483871,0.765476190476191,0.767857142857143,0.753367003367003
"Epilepsy",1,3,1.18659676249382,3,3,1,0.125,0.838690476190476,0.839285714285714,0.831371753246753,0.838690476190476,0.839285714285714,0.831371753246753
"Epilepsy",1,3,1.27983697434448,3,3,1,0.25,0.822023809523809,0.821428571428571,0.81484592525166,0.891071428571429,0.892857142857143,0.890454545454545
"Epilepsy",1,3,1.3804038007459,3,3,3,0.125,0.911904761904762,0.910714285714286,0.906362007168459,0.926785714285714,0.928571428571429,0.928685897435897
"Epilepsy",1,3,1.48887295125201,3,3,1,0.5,0.894047619047619,0.892857142857143,0.888542616803486,0.895238095238095,0.892857142857143,0.892227564102564
"Epilepsy",1,3,1.60586537343063,3,3,1,0.5,0.911904761904762,0.910714285714286,0.910454545454545,0.913095238095238,0.910714285714286,0.910446650124069
"Epilepsy",1,3,1.73205080756888,3,3,1,0.25,0.911904761904762,0.910714285714286,0.910454545454545,0.947619047619048,0.946428571428571,0.946575682382134
"Epilepsy",1,4,1.02,2,3,1,0.25,0.906410256410256,0.907407407407407,0.90257412838058,0.904807692307692,0.907407407407407,0.903642409564449
"Epilepsy",1,4,1.10014939791998,3,3,1,0.25,0.888141025641026,0.888888888888889,0.887761674718196,0.903617216117216,0.907407407407407,0.902411674347158
"Epilepsy",1,4,1.18659676249382,3,3,1,0.125,0.904807692307692,0.907407407407407,0.904736217499191,0.940705128205128,0.944444444444444,0.942708333333333
"Epilepsy",1,4,1.27983697434448,3,3,1,0.5,0.883974358974359,0.888888888888889,0.884139784946237,0.921474358974359,0.925925925925926,0.921766304347826
"Epilepsy",1,4,1.3804038007459,3,3,1,1,0.883974358974359,0.888888888888889,0.884139784946237,0.959935897435897,0.962962962962963,0.961102150537634
"Epilepsy",1,4,1.48887295125201,3,3,3,2,0.940705128205128,0.944444444444444,0.942708333333333,0.925,0.925925925925926,0.924798711755234
