"method","mean","sd"
"DTW + kFDA",0.988070405310971,0.016061447422873
"1NN-DTW",0.97366189977039,0.0222038302234968
"DTW + kNN",0.973483328341819,0.0222067409511717
"1NN-DDTW",0.932267520215633,0.0292834724815214
"DTW + SVM",0.931500698812019,0.0347319012611981
"SFKmL-C(dense) + kFDA",0.910577268643306,0.0333252785495158
"MFPCA-SVM",0.893864056104622,0.0459687449492201
"SFKmL-C + kFDA",0.890042802236198,0.0465431319383973
"SFKmL-C + kNN",0.888815887990416,0.0383216818123708
"DTW + DBA",0.886953803533992,0.0396153678053057
"NC-DBA",0.886953803533992,0.0396153678053057
"SFKmL-C(dense) + SVM",0.883586028751123,0.0440696834941942
"SFKmL-C(dense) + kNN",0.875550314465409,0.0396935180251093
"DistSpace-bagdist",0.863356543875412,0.0438479691261284
"DistSpace-Frechet",0.858705076370171,0.0512340508573176
"Euclid + kFDA",0.824632000598982,0.0443546475762567
"SFKmL-C + SVM",0.812175301986623,0.0599886913346452
"MFKmL-C + kFDA",0.806371293800539,0.0480534243315024
"MFKmL-C + kNN",0.788933812518718,0.0517322088601777
"Subspace",0.782764675052411,0.0480189788214126
"DD-classifier",0.76367362982929,0.0604054367086438
"MFKmL-C + SVM",0.692516471997604,0.0530389038056691
"1NN-Euclid",0.674301312768294,0.0547843856329358
"Euclid + kNN",0.674301312768294,0.0547843856329358
"SFKmL-C(dense) + medoid",0.671991364680044,0.082346644330681
"SFKmL-C + medoid",0.654385170210642,0.0740500045213317
"SFKmL-C(dense) + mean",0.649755665368873,0.0758243295182432
"SFKmL-C + mean",0.616042477787761,0.0804618957523887
"DTW + medoid",0.61589535290007,0.0725560213755683
"Euclid + SVM",0.594413372267146,0.0573365015971553
"SFKmL-C(gap) + medoid",0.590810871518419,0.10367468969775
"MFKmL-C + mean",0.571968778077269,0.0730833642880104
"MFPLS-DA",0.565854547269642,0.0597237693102987
"MFKmL-C + medoid",0.547173180592992,0.0524561091022021
"MFPCA-LDA",0.540455600479185,0.0539170743785531
"SFKmL-C(gaplab) + medoid",0.539735948886892,0.0656930967811565
"Euclid + centroid",0.497699411001298,0.0680419709892894
"KmL3d-C (NC-Euclid)",0.497699411001298,0.0680419709892894
"Euclid + medoid",0.383511904761905,0.0662641686872097
"MaxDepth-MBD",0.372372965957872,0.0338451644198173
"MaxDepth-MBD (w)",0.272511106119597,0.0150278641012158
"MaxDepth-MFHD",0.247204751921733,0.00373129635812709
