"method","mean","sd"
"MaxDepth-MFHD",1,0
"Euclid + medoid",0.724785810113613,0.0113836794054441
"Euclid + centroid",0.717116746209778,0.00316721668159645
"KmL3d-C (NC-Euclid)",0.717116746209778,0.00316721668159645
"MaxDepth-MBD (w)",0.713695090939044,0.00879877169558383
"SFKmL-C + mean",0.706753559874146,0.00766952943920637
"MFKmL-C + mean",0.706588028589259,0.00781396250949701
"SFKmL-C(dense) + mean",0.704462915673173,0.00747460626859555
"MaxDepth-MBD",0.69630021008565,0.00393037079269139
"MFKmL-C + medoid",0.688612282993871,0.008591148161148
"Subspace",0.676789753454474,0.00952094601063196
"DTW + medoid",0.673378380587415,0.0114590907159451
"SFKmL-C(gaplab) + medoid",0.664816640899986,0.00994825512022712
"SFKmL-C(gap) + medoid",0.66058713251446,0.0108894087562492
"SFKmL-C + medoid",0.659695934696008,0.00980524703146912
"DTW + DBA",0.658197001167302,0.00483580497861638
"NC-DBA",0.658197001167302,0.00483580497861638
"SFKmL-C(dense) + medoid",0.653890445615893,0.0102356376316768
"1NN-Euclid",0.651397374463412,0.109568771265872
"Euclid + kNN",0.651397374463412,0.109568771265872
"MFPLS-DA",0.640875053324254,0.0719550109311402
"1NN-DDTW",0.636418109446048,0.00617477871625449
"MFPCA-LDA",0.569326035550922,0.0422549749685498
"MFKmL-C + kFDA",0.522799454253391,0.0176691565587839
"DD-classifier",0.493336952181292,0.0319810317678065
"Euclid + SVM",0.46636410780456,0.0360282895609469
"Euclid + kFDA",0.462090372634911,0.0163704848733896
"SFKmL-C(dense) + kFDA",0.46022840876615,0.0112972060338814
"SFKmL-C + kFDA",0.425104465591119,0.0195294081947752
"MFKmL-C + SVM",0.421032881522185,0.0506700697236077
"MFKmL-C + kNN",0.399307981986179,0.107586636000732
"DTW + kFDA",0.363933591530205,0.0101223958172429
"SFKmL-C + SVM",0.29391283318329,0.0714539364743876
"DistSpace-bagdist",0.241557743242384,0.0803955132856573
"SFKmL-C(dense) + kNN",0.233335725852093,0.0710355603566938
"DistSpace-Frechet",0.222429443800415,0.0725578394102891
"DTW + SVM",0.216319068679343,0.0248002578510327
"SFKmL-C + kNN",0.216207253225073,0.0726102607798684
"SFKmL-C(dense) + SVM",0.212360108493821,0.0475586297952464
"MFPCA-SVM",0.179531057339234,0.0493976423067966
"DTW + kNN",0.052874613157632,0.0443754229122245
"1NN-DTW",0.0526762004592193,0.0444076604469935
