"method","mean","sd"
"DTW + kFDA",0.984068275779201,0.0214466980775951
"1NN-DTW",0.964832047946621,0.029624082722155
"DTW + kNN",0.964594054241235,0.0296277558705495
"1NN-DDTW",0.909467336147332,0.0391439036489106
"DTW + SVM",0.90820696446252,0.046642401300011
"SFKmL-C(dense) + kFDA",0.880543486230006,0.044514838143742
"MFPCA-SVM",0.858461393706162,0.0611843479767583
"SFKmL-C + kFDA",0.853089564806911,0.0622388680094094
"SFKmL-C + kNN",0.851676902530971,0.0510131191974678
"DTW + DBA",0.849049356377661,0.0528973350097272
"NC-DBA",0.849049356377661,0.0528973350097272
"SFKmL-C(dense) + SVM",0.844045586320407,0.0591704011515988
"SFKmL-C(dense) + kNN",0.834053669226291,0.0528173944001831
"DistSpace-bagdist",0.817582794046734,0.0584233952969878
"DistSpace-Frechet",0.811393489525578,0.068263085817555
"Euclid + kFDA",0.766087843329349,0.0589991489700759
"SFKmL-C + SVM",0.748301277717247,0.0806074369900261
"MFKmL-C + kFDA",0.741527282516542,0.0639878600988583
"MFKmL-C + kNN",0.718625181531222,0.0687353971398379
"Subspace",0.708980667446991,0.0644786967327736
"DD-classifier",0.684311356963329,0.0807232129529957
"MFKmL-C + SVM",0.587269517573707,0.0712721022262596
"SFKmL-C(dense) + medoid",0.563769376894693,0.108460168913075
"1NN-Euclid",0.563683047854396,0.0734917863941483
"Euclid + kNN",0.563683047854396,0.0734917863941483
"SFKmL-C + medoid",0.53761123668946,0.0993301211268547
"SFKmL-C(dense) + mean",0.534192723549051,0.100995469915725
"DTW + medoid",0.486943961821466,0.0969081709423986
"SFKmL-C + mean",0.486217819597624,0.108201676315278
"Euclid + SVM",0.456668354338946,0.0767452845424907
"SFKmL-C(gap) + medoid",0.452954424299328,0.139264134374911
"MFKmL-C + mean",0.430253312302328,0.0970534345252238
"MFPLS-DA",0.421205625112996,0.0792942643736904
"MFKmL-C + medoid",0.399715904924257,0.0694539388095575
"MFPCA-LDA",0.387779909037205,0.071862825709593
"SFKmL-C(gaplab) + medoid",0.382930428314924,0.0882778730591896
"Euclid + centroid",0.331149646655961,0.0907145802482599
"KmL3d-C (NC-Euclid)",0.331149646655961,0.0907145802482599
"Euclid + medoid",0.177357516375097,0.0890985237133109
"MaxDepth-MBD",0.153120830923209,0.0472099097347157
"MaxDepth-MBD (w)",0.0105284766334513,0.0213940725779233
"MaxDepth-MFHD",0,0
