"method","mean","sd"
"MaxDepth-MFHD",34.5387763949107,0
"1NN-Euclid",11.2492341304119,1.89218564530852
"Euclid + kNN",11.2492341304119,1.89218564530852
"MFKmL-C + kNN",6.417766347689,2.39857666377137
"SFKmL-C + kNN",3.60562562003443,1.34410653543471
"SFKmL-C(dense) + kNN",3.60278074383091,1.48014518786996
"DistSpace-bagdist",3.22768451593705,1.86554898914075
"DistSpace-Frechet",2.1225955333371,1.54007050340896
"MFPLS-DA",1.60812364404471,0.295803047622414
"DD-classifier",1.48318805049155,0.697283927390094
"Euclid + medoid",1.34165434891849,0.0214432044393099
"Euclid + centroid",1.32041207534242,0.00622391477503473
"KmL3d-C (NC-Euclid)",1.32041207534242,0.00622391477503473
"MaxDepth-MBD (w)",1.31367348495816,0.0174717529163678
"SFKmL-C + mean",1.30172730229166,0.0151268838431544
"MFKmL-C + mean",1.30164517568405,0.0152465824419394
"SFKmL-C(dense) + mean",1.29737202397921,0.0142783795406539
"MaxDepth-MBD",1.27967792356086,0.00781596428200607
"MFKmL-C + medoid",1.26761217688235,0.0153530775272582
"Subspace",1.25057613363117,0.0165880447480004
"DTW + medoid",1.24122980945491,0.02122352835941
"DTW + DBA",1.21144549270573,0.00872909148156705
"NC-DBA",1.21144549270573,0.00872909148156705
"SFKmL-C(gaplab) + medoid",1.20806488043236,0.0193402583324111
"SFKmL-C + medoid",1.20499262454921,0.0175752246816861
"SFKmL-C(gap) + medoid",1.20473106998264,0.018288344722665
"SFKmL-C(dense) + medoid",1.20012031957952,0.0180909652796197
"1NN-DDTW",1.16472923165172,0.0109781096936752
"MFPCA-LDA",0.993349027942673,0.0973190772708996
"MFKmL-C + kFDA",0.983544792586629,0.0297226439942027
"DTW + kNN",0.91009914871384,0.766744760194799
"1NN-DTW",0.909685754497235,0.766893127199915
"SFKmL-C(dense) + kFDA",0.880027389254175,0.0186188391903014
"Euclid + kFDA",0.86712639597731,0.0263632231891241
"Euclid + SVM",0.81349978056559,0.0611797954109488
"SFKmL-C + kFDA",0.810545675036533,0.0340798840583549
"MFKmL-C + SVM",0.783908813759582,0.106563929834405
"DTW + kFDA",0.727880588131005,0.016083478465849
"SFKmL-C + SVM",0.548794475825847,0.130290672393896
"DTW + SVM",0.42186756167883,0.0368556768218862
"SFKmL-C(dense) + SVM",0.402394563383422,0.0755559573713399
"MFPCA-SVM",0.351894179058099,0.0844507267606144
