"method","mean","sd"
"DTW + kFDA",0.98789426118108,0.0162080688516583
"1NN-DTW",0.973217937499332,0.0227955622971871
"DTW + kNN",0.973033037214432,0.0228036818516672
"1NN-DDTW",0.932856379216037,0.0286581586408515
"DTW + SVM",0.925093405940801,0.0391241867595311
"SFKmL-C(dense) + kFDA",0.910201793045751,0.0336336783788478
"MFPCA-SVM",0.894586237684302,0.0452556788632562
"SFKmL-C + kFDA",0.88891452802936,0.0470112237668718
"SFKmL-C + kNN",0.882253904739172,0.0422942048292758
"DTW + DBA",0.88168562711563,0.0413958937346861
"NC-DBA",0.88168562711563,0.0413958937346861
"SFKmL-C(dense) + SVM",0.881149560829819,0.0452163492125351
"SFKmL-C(dense) + kNN",0.868916375306296,0.0433573220552568
"DistSpace-bagdist",0.863145669299763,0.0431977380225121
"DistSpace-Frechet",0.855679372898755,0.0526563023107943
"Euclid + kFDA",0.811588159327669,0.048438290612243
"SFKmL-C + SVM",0.806966121184653,0.0640137425368505
"MFKmL-C + kFDA",0.803173920629279,0.0490026426630633
"MFKmL-C + kNN",0.785258952742927,0.0541561796397617
"Subspace",0.774145376966509,0.0518918275697113
"DD-classifier",0.758381356326892,0.0618806266087353
"MFKmL-C + SVM",0.681285223667164,0.054414239201908
"SFKmL-C(dense) + medoid",0.670298167424611,0.0830005614575177
"1NN-Euclid",0.667210064691915,0.0616405908432546
"Euclid + kNN",0.667210064691915,0.0616405908432546
"SFKmL-C(dense) + mean",0.644324164421769,0.0787794206380716
"SFKmL-C + medoid",0.638295831612134,0.0840705657671033
"DTW + medoid",0.624220806090953,0.0722793897146265
"SFKmL-C + mean",0.603443296157306,0.0884874223577922
"SFKmL-C(gap) + medoid",0.56673498039344,0.118296610762971
"Euclid + SVM",0.563507547406265,0.074791716097977
"MFKmL-C + mean",0.55600480739217,0.0781337126641147
"MFKmL-C + medoid",0.544572541788626,0.0533130528661254
"MFPLS-DA",0.544416681552261,0.064746351790613
"MFPCA-LDA",0.540876487574465,0.0541217256032151
"Euclid + centroid",0.49896963719781,0.0684251214280004
"KmL3d-C (NC-Euclid)",0.49896963719781,0.0684251214280004
"SFKmL-C(gaplab) + medoid",0.49746106444741,0.0695354073228826
"Euclid + medoid",0.351447136940261,0.0696179299327607
"MaxDepth-MBD",0.276471154558184,0.0456242426118603
"MaxDepth-MBD (w)",0.119273773696468,0.0287103018715263
"MaxDepth-MFHD",0.0990999547715966,0.00120235018814914
