"method","mean","sd"
"DTW + kFDA",0.988167454481793,0.015868276690116
"1NN-DTW",0.974576844111771,0.0216569005756028
"DTW + kNN",0.974412008946935,0.0216720174159944
"DTW + SVM",0.942452061300842,0.0276286027525171
"1NN-DDTW",0.938133878859788,0.0269340161051137
"SFKmL-C(dense) + kFDA",0.916474848240425,0.030814270775585
"SFKmL-C + kNN",0.901476537759626,0.0332620672911905
"MFPCA-SVM",0.90136348157991,0.0421622879282159
"SFKmL-C + kFDA",0.895514919452323,0.0442929228264968
"SFKmL-C(dense) + SVM",0.895359187376577,0.0402205450424492
"SFKmL-C(dense) + kNN",0.890807327454967,0.0312019489096892
"DTW + DBA",0.889690942249185,0.0399151222935951
"NC-DBA",0.889690942249185,0.0399151222935951
"DistSpace-bagdist",0.871021620117499,0.0407206082193289
"DistSpace-Frechet",0.864277025305276,0.0515384891260803
"SFKmL-C + SVM",0.825140823537693,0.063766946809921
"Euclid + kFDA",0.824136817065803,0.0487449629073409
"Subspace",0.822455424561062,0.040936950287104
"MFKmL-C + kFDA",0.812470977195133,0.0490782253648983
"MFKmL-C + kNN",0.806387876270616,0.0470827889205628
"1NN-Euclid",0.781602940733551,0.0554415110309235
"Euclid + kNN",0.781602940733551,0.0554415110309235
"DD-classifier",0.771638777790725,0.0588120176883308
"MFKmL-C + SVM",0.716956980600164,0.056144898256964
"SFKmL-C(dense) + medoid",0.708006169190398,0.0797628505620979
"SFKmL-C(dense) + mean",0.696221179363927,0.0778646374860976
"DTW + medoid",0.690856062776174,0.0637826182942611
"Euclid + SVM",0.674557004096438,0.0906028056479478
"SFKmL-C + medoid",0.651432547960949,0.0868425479387372
"SFKmL-C + mean",0.627676660940202,0.0947735822699462
"MFKmL-C + mean",0.593104343387228,0.0924094921990305
"MFPLS-DA",0.589902191228017,0.0680872774487489
"MFKmL-C + medoid",0.587720178517191,0.0569408021237621
"SFKmL-C(gap) + medoid",0.586108406047554,0.126869567015735
"MFPCA-LDA",0.544719619346941,0.057629672687411
"SFKmL-C(gaplab) + medoid",0.514049873588547,0.0892843390852384
"Euclid + centroid",0.510108375340409,0.0693131430727301
"KmL3d-C (NC-Euclid)",0.510108375340409,0.0693131430727301
"Euclid + medoid",0.430420160559844,0.133718684452841
"MaxDepth-MBD",0.374870039249834,0.110625145039535
"MaxDepth-MBD (w)",0.107425646266628,0.0813162644092341
"MaxDepth-MFHD",0.0618011879804333,0.000932824089531805
