"method","mean","sd"
"DTW + kFDA",0.98839010989011,0.015613348065814
"1NN-DTW",0.974128205128205,0.0218450186463425
"DTW + kNN",0.973949633699634,0.0218419976615808
"1NN-DDTW",0.932197344322344,0.0292809549565123
"DTW + SVM",0.923955586080586,0.0385154379911876
"SFKmL-C(dense) + kFDA",0.911035714285714,0.0334026078170634
"MFPCA-SVM",0.896334249084249,0.0447476370264695
"SFKmL-C + kFDA",0.88996336996337,0.0470647531627877
"SFKmL-C + kNN",0.889120421245421,0.0379014667294362
"DTW + DBA",0.883610347985348,0.041688788836371
"NC-DBA",0.883610347985348,0.041688788836371
"SFKmL-C(dense) + SVM",0.879728937728938,0.0455700392547734
"SFKmL-C(dense) + kNN",0.875812271062271,0.0393378493239104
"DistSpace-bagdist",0.863686813186813,0.0435942098328394
"DistSpace-Frechet",0.859029304029304,0.0511396458160588
"Euclid + kFDA",0.823478021978022,0.044406165474672
"SFKmL-C + SVM",0.809695970695971,0.06114750455447
"MFKmL-C + kFDA",0.805460622710623,0.0478113174148266
"MFKmL-C + kNN",0.791245879120879,0.0509012460891787
"Subspace",0.779292124542125,0.0485505343597645
"DD-classifier",0.759689102564102,0.0620592614509769
"MFKmL-C + SVM",0.680952380952381,0.0538145887697969
"1NN-Euclid",0.678860805860806,0.055319368041549
"Euclid + kNN",0.678860805860806,0.055319368041549
"SFKmL-C(dense) + medoid",0.671798992673993,0.0805336754083018
"SFKmL-C(dense) + mean",0.654312728937729,0.076315787393592
"SFKmL-C + medoid",0.648410714285714,0.0778256142475663
"DTW + medoid",0.617465659340659,0.0730993620248966
"SFKmL-C + mean",0.609022893772894,0.0835555774165259
"SFKmL-C(gap) + medoid",0.584403846153846,0.107916060519342
"Euclid + SVM",0.58201510989011,0.0587494689024538
"MFKmL-C + mean",0.580569139194139,0.0724997261430687
"MFPLS-DA",0.575783882783883,0.0584148435624056
"MFPCA-LDA",0.554204212454212,0.053232417243799
"MFKmL-C + medoid",0.552106227106227,0.0534599590918203
"SFKmL-C(gaplab) + medoid",0.527949633699634,0.0677520361447712
"Euclid + centroid",0.506815476190476,0.0680605464801549
"KmL3d-C (NC-Euclid)",0.506815476190476,0.0680605464801549
"Euclid + medoid",0.389307234432234,0.0681076206043349
"MaxDepth-MBD",0.370235805860806,0.0378579145196647
"MaxDepth-MBD (w)",0.258125,0.0169832619619638
"MaxDepth-MFHD",0.25,0
