"dataset","seed","fold","distance","gamma_mult","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"Epilepsy",1,1,"SFCL",0.125,0.928571428571429,0.929761904761905,0.928685897435897,0.929761904761905,0.927344913151365,0.928571428571429,0.904559011504048,NA,0.79519326839853,0.41204838638223
"Epilepsy",1,1,"SFCL",0.25,0.946428571428571,0.947619047619048,0.944871794871795,0.947619047619048,0.945555555555556,0.946428571428571,0.928449744463373,NA,0.788632463183851,0.408070006218894
"Epilepsy",1,1,"SFCL",0.5,0.910714285714286,0.911904761904762,0.910606060606061,0.911904761904762,0.905555555555556,0.910714285714286,0.880952380952381,NA,0.775835020245414,0.400549624785191
"Epilepsy",1,1,"SFCL",1,0.928571428571429,0.929761904761905,0.926785714285714,0.929761904761905,0.925641025641026,0.928571428571429,0.90468085106383,NA,0.782650356800148,0.405541169410195
"Epilepsy",1,1,"SFCL",2,0.892857142857143,0.895238095238095,0.896915584415584,0.895238095238095,0.888423645320197,0.892857142857143,0.857324840764331,NA,0.785792736695327,0.408202392341013
"Epilepsy",1,1,"SFCL",4,0.857142857142857,0.854761904761905,0.859375,0.854761904761905,0.855355665839537,0.857142857142857,0.808873720136519,NA,0.857662511264361,0.448953122311886
"Epilepsy",1,1,"SFCL",8,0.821428571428571,0.824404761904762,0.822516025641026,0.824404761904762,0.816798941798942,0.821428571428571,0.762409843020789,NA,0.905315806168151,0.48412109071484
"Epilepsy",1,1,"MFCL",0.125,0.857142857142857,0.85952380952381,0.866666666666667,0.85952380952381,0.849635788166523,0.857142857142857,0.80936170212766,NA,0.943799748464385,0.500403219156073
"Epilepsy",1,1,"MFCL",0.25,0.875,0.877380952380952,0.898496240601504,0.877380952380952,0.873683067968278,0.875,0.832978270132083,NA,0.955925157654537,0.508061815754495
"Epilepsy",1,1,"MFCL",0.5,0.821428571428571,0.826190476190476,0.858552631578947,0.826190476190476,0.819423223834989,0.821428571428571,0.761904761904762,NA,0.974119715948898,0.519075249798065
"Epilepsy",1,1,"MFCL",1,0.785714285714286,0.7875,0.8328173374613,0.7875,0.779641166811552,0.785714285714286,0.714528462192014,NA,1.00355546029663,0.534445938222741
"Epilepsy",1,1,"MFCL",2,0.696428571428571,0.69047619047619,0.717410714285714,0.69047619047619,0.682500892178312,0.696428571428571,0.594548551959114,NA,1.02853841024077,0.550759320252221
"Epilepsy",1,1,"MFCL",4,0.785714285714286,0.788690476190476,0.789969834087481,0.788690476190476,0.781309208033346,0.785714285714286,0.71513353115727,NA,1.00163681835083,0.533650198430534
"Epilepsy",1,1,"MFCL",8,0.732142857142857,0.730357142857143,0.727838827838828,0.730357142857143,0.728604269293924,0.732142857142857,0.642401021711366,NA,1.01873720014998,0.553612476913415
"Epilepsy",1,2,"SFCL",0.125,0.821428571428571,0.823214285714286,0.830208333333333,0.823214285714286,0.817261904761905,0.821428571428571,0.762107051826678,NA,0.867308895928338,0.454832436977078
"Epilepsy",1,2,"SFCL",0.25,0.821428571428571,0.823214285714286,0.830208333333333,0.823214285714286,0.817261904761905,0.821428571428571,0.762107051826678,NA,0.849881159509767,0.444647714416621
"Epilepsy",1,2,"SFCL",0.5,0.839285714285714,0.841071428571429,0.846766774891775,0.841071428571429,0.836658456486043,0.839285714285714,0.785987261146497,NA,0.820353911307741,0.427652895459608
"Epilepsy",1,2,"SFCL",1,0.892857142857143,0.892261904761905,0.892261904761905,0.892261904761905,0.88974358974359,0.892857142857143,0.857021276595745,NA,0.807002544205308,0.419927041394401
"Epilepsy",1,2,"SFCL",2,0.910714285714286,0.911904761904762,0.921026583710407,0.911904761904762,0.909018817204301,0.910714285714286,0.880597014925373,NA,0.81367100666583,0.423140603025863
"Epilepsy",1,2,"SFCL",4,0.857142857142857,0.860714285714286,0.863452337136548,0.860714285714286,0.854873949579832,0.857142857142857,0.809036658141517,NA,0.898989326741957,0.474950903663474
"Epilepsy",1,2,"SFCL",8,0.821428571428571,0.823809523809524,0.849509803921569,0.823809523809524,0.80261994949495,0.821428571428571,0.761397528760119,NA,0.980877741104909,0.525157904075425
"Epilepsy",1,2,"MFCL",0.125,0.785714285714286,0.789880952380952,0.783712121212121,0.789880952380952,0.777130277130277,0.785714285714286,0.714407139821504,NA,0.91899754295743,0.488070041787383
"Epilepsy",1,2,"MFCL",0.25,0.803571428571429,0.806547619047619,0.804545454545455,0.806547619047619,0.796161616161616,0.803571428571429,0.738095238095238,NA,0.934792950292355,0.498067171334622
"Epilepsy",1,2,"MFCL",0.5,0.785714285714286,0.791071428571429,0.804563492063492,0.791071428571429,0.786241281068867,0.785714285714286,0.715495342929721,NA,0.953699977705196,0.508955806819805
"Epilepsy",1,2,"MFCL",1,0.767857142857143,0.770833333333333,0.781116452991453,0.770833333333333,0.759470380017365,0.767857142857143,0.691394658753709,NA,0.977133019058067,0.521297143613813
"Epilepsy",1,2,"MFCL",2,0.803571428571429,0.795238095238095,0.798414820473644,0.795238095238095,0.795372403084172,0.803571428571429,0.737089201877934,NA,0.982656443233642,0.521314433768815
"Epilepsy",1,2,"MFCL",4,0.803571428571429,0.791666666666667,0.8125,0.791666666666667,0.78420854507811,0.803571428571429,0.735849056603774,NA,0.989206015770235,0.522820190557043
"Epilepsy",1,2,"MFCL",8,0.607142857142857,0.602380952380952,0.553720238095238,0.602380952380952,0.568201213362504,0.607142857142857,0.475298126064736,NA,1.08063398640716,0.582808286995991
"Epilepsy",1,3,"SFCL",0.125,0.946428571428571,0.944642857142857,0.947916666666667,0.944642857142857,0.945713859020311,0.946428571428571,0.928358208955224,NA,0.811969846423277,0.421263958669984
"Epilepsy",1,3,"SFCL",0.25,0.910714285714286,0.908928571428571,0.923611111111111,0.908928571428571,0.911287878787879,0.910714285714286,0.880495091762697,NA,0.803523384653449,0.416554631551189
"Epilepsy",1,3,"SFCL",0.5,0.892857142857143,0.895238095238095,0.90546218487395,0.895238095238095,0.892227564102564,0.892857142857143,0.856899488926746,NA,0.800457358735691,0.415095405544712
"Epilepsy",1,3,"SFCL",1,0.946428571428571,0.947619047619048,0.948477564102564,0.947619047619048,0.946038047973532,0.946428571428571,0.928419258628036,NA,0.789643969588119,0.408669575511726
"Epilepsy",1,3,"SFCL",2,0.928571428571429,0.932142857142857,0.927197802197802,0.932142857142857,0.927197802197802,0.928571428571429,0.904761904761905,NA,0.81632566916525,0.42672991964196
"Epilepsy",1,3,"SFCL",4,0.839285714285714,0.844047619047619,0.832589285714286,0.844047619047619,0.835436810130915,0.839285714285714,0.785531914893617,NA,0.889252292718488,0.468746352147088
"Epilepsy",1,3,"SFCL",8,0.839285714285714,0.841666666666667,0.844800420168067,0.841666666666667,0.82736013986014,0.839285714285714,0.785166240409207,NA,0.927439958314274,0.493090277208484
"Epilepsy",1,3,"MFCL",0.125,0.785714285714286,0.78452380952381,0.787202380952381,0.78452380952381,0.780693444486548,0.785714285714286,0.714770797962649,NA,0.960311067668766,0.506522209292964
"Epilepsy",1,3,"MFCL",0.25,0.767857142857143,0.767857142857143,0.773008241758242,0.767857142857143,0.765143222039774,0.767857142857143,0.691132795927026,NA,0.969802485598215,0.512194785411466
"Epilepsy",1,3,"MFCL",0.5,0.767857142857143,0.767857142857143,0.776637578108166,0.767857142857143,0.764683592269799,0.767857142857143,0.691394658753709,NA,0.976352244065469,0.515771726696832
"Epilepsy",1,3,"MFCL",1,0.75,0.75,0.751021527492116,0.75,0.742175697865353,0.75,0.667514843087362,NA,0.99023399874953,0.523109269988408
"Epilepsy",1,3,"MFCL",2,0.767857142857143,0.770238095238095,0.782332251082251,0.770238095238095,0.768297475194027,0.767857142857143,0.691132795927026,NA,1.01270125004309,0.540928097577228
"Epilepsy",1,3,"MFCL",4,0.785714285714286,0.778571428571429,0.781818181818182,0.778571428571429,0.776826796392014,0.785714285714286,0.712943186672362,NA,1.00992752696292,0.539660504446193
"Epilepsy",1,3,"MFCL",8,0.785714285714286,0.777380952380952,0.781302521008403,0.777380952380952,0.776907467532468,0.785714285714286,0.712820512820513,NA,1.03301176007504,0.558782005269801
"Epilepsy",1,4,"SFCL",0.125,0.944444444444444,0.940705128205128,0.945913461538462,0.940705128205128,0.941102150537634,0.944444444444444,0.925722145804677,NA,0.790335942240167,0.413710987848779
"Epilepsy",1,4,"SFCL",0.25,0.944444444444444,0.940705128205128,0.945913461538462,0.940705128205128,0.941102150537634,0.944444444444444,0.925722145804677,NA,0.782962010222794,0.409339409759378
"Epilepsy",1,4,"SFCL",0.5,0.944444444444444,0.940705128205128,0.945913461538462,0.940705128205128,0.941102150537634,0.944444444444444,0.925722145804677,NA,0.782702902474114,0.409342407191424
"Epilepsy",1,4,"SFCL",1,0.907407407407407,0.899038461538462,0.912878787878788,0.899038461538462,0.902091567852437,0.907407407407407,0.875862068965517,NA,0.804019199187321,0.423423322619088
"Epilepsy",1,4,"SFCL",2,0.851851851851852,0.84945054945055,0.853571428571429,0.84945054945055,0.8497150997151,0.851851851851852,0.802288329519451,NA,0.84888888964302,0.447137767509056
"Epilepsy",1,4,"SFCL",4,0.888888888888889,0.883745421245421,0.89375,0.883745421245421,0.885378361184813,0.888888888888889,0.851307939421753,NA,0.852996815883955,0.449165629677702
"Epilepsy",1,4,"SFCL",8,0.833333333333333,0.826602564102564,0.835200746965453,0.826602564102564,0.826388888888889,0.833333333333333,0.776551724137931,NA,0.914360499290405,0.491217570975919
"Epilepsy",1,4,"MFCL",0.125,0.851851851851852,0.846840659340659,0.8661995898838,0.846840659340659,0.846795964762717,0.851851851851852,0.801561782269178,NA,0.960099586116094,0.503409857441116
"Epilepsy",1,4,"MFCL",0.25,0.851851851851852,0.846840659340659,0.8661995898838,0.846840659340659,0.846795964762717,0.851851851851852,0.801561782269178,NA,0.958941917256116,0.502653908590398
"Epilepsy",1,4,"MFCL",0.5,0.796296296296296,0.788919413919414,0.834126984126984,0.788919413919414,0.790890269151139,0.796296296296296,0.726519337016575,NA,0.959561398620187,0.503449076632087
"Epilepsy",1,4,"MFCL",1,0.851851851851852,0.84981684981685,0.860606060606061,0.84981684981685,0.846449745906268,0.851851851851852,0.801743919229004,NA,0.960537140525477,0.506323594874599
"Epilepsy",1,4,"MFCL",2,0.888888888888889,0.885531135531135,0.897860962566845,0.885531135531135,0.88605201863354,0.888888888888889,0.851376146788991,NA,0.958224645050144,0.504706788259783
"Epilepsy",1,4,"MFCL",4,0.87037037037037,0.864285714285714,0.871924603174603,0.864285714285714,0.862711213517665,0.87037037037037,0.826366559485531,NA,0.962386940322075,0.510281788906672
"Epilepsy",1,4,"MFCL",8,0.777777777777778,0.761217948717949,0.785732323232323,0.761217948717949,0.75360582257134,0.777777777777778,0.700554528650647,NA,1.05142895332399,0.567175056591934
"Epilepsy",1,5,"SFCL",0.125,0.867924528301887,0.866529304029304,0.880637254901961,0.866529304029304,0.868367227676484,0.867924528301887,0.823417420276059,NA,0.783210578579342,0.40980639830704
"Epilepsy",1,5,"SFCL",0.25,0.849056603773585,0.845695970695971,0.868939393939394,0.845695970695971,0.85054347826087,0.849056603773585,0.797999047165317,NA,0.783446319661153,0.41067041216022
"Epilepsy",1,5,"SFCL",0.5,0.830188679245283,0.827838827838828,0.834753787878788,0.827838827838828,0.829166666666667,0.830188679245283,0.773073263558516,NA,0.786844683777894,0.414020652731759
"Epilepsy",1,5,"SFCL",1,0.867924528301887,0.863553113553114,0.892543859649123,0.863553113553114,0.865740740740741,0.867924528301887,0.823333333333333,NA,0.774140380595775,0.405863010290833
"Epilepsy",1,5,"SFCL",2,0.886792452830189,0.8871336996337,0.887362637362637,0.8871336996337,0.886564916564917,0.886792452830189,0.849002849002849,NA,0.813078299302401,0.426535952232825
"Epilepsy",1,5,"SFCL",4,0.867924528301887,0.86492673992674,0.868641774891775,0.86492673992674,0.864285714285714,0.867924528301887,0.823501427212179,NA,0.89708443944046,0.478622176464369
"Epilepsy",1,5,"SFCL",8,0.792452830188679,0.788919413919414,0.807323232323232,0.788919413919414,0.789237536656892,0.792452830188679,0.723040380047506,NA,0.934876375921263,0.507049174278194
"Epilepsy",1,5,"MFCL",0.125,0.811320754716981,0.818452380952381,0.844753930280246,0.818452380952381,0.810315635451505,0.811320754716981,0.749290444654683,NA,0.960780352379802,0.508173448364096
"Epilepsy",1,5,"MFCL",0.25,0.811320754716981,0.818452380952381,0.841161616161616,0.818452380952381,0.809033296971586,0.811320754716981,0.749408983451537,NA,0.970021395433029,0.512775799404808
"Epilepsy",1,5,"MFCL",0.5,0.811320754716981,0.818452380952381,0.823958333333333,0.818452380952381,0.809251891148443,0.811320754716981,0.749171793658306,NA,0.97807068222577,0.516431482234564
"Epilepsy",1,5,"MFCL",1,0.773584905660377,0.778388278388278,0.793137254901961,0.778388278388278,0.771851851851852,0.773584905660377,0.69914853358562,NA,0.973945753710588,0.514856109463771
"Epilepsy",1,5,"MFCL",2,0.830188679245283,0.831959706959707,0.845238095238095,0.831959706959707,0.830742705570292,0.830188679245283,0.774040738986262,NA,0.95672188873793,0.506776467871836
"Epilepsy",1,5,"MFCL",4,0.792452830188679,0.789148351648352,0.789835164835165,0.789148351648352,0.788923483923484,0.792452830188679,0.723171889838557,NA,1.01324196054398,0.538215476936943
"Epilepsy",1,5,"MFCL",8,0.811320754716981,0.814102564102564,0.821840659340659,0.814102564102564,0.808926466254053,0.811320754716981,0.748934154429181,NA,1.04242229533116,0.558148320087005
"Epilepsy",2,1,"SFCL",0.125,0.910714285714286,0.910119047619048,0.910977564102564,0.910119047619048,0.909991039426523,0.910714285714286,0.880597014925373,NA,0.82723001663373,0.431919663462751
"Epilepsy",2,1,"SFCL",0.25,0.910714285714286,0.910119047619048,0.913060897435897,0.910119047619048,0.911066308243728,0.910714285714286,0.880597014925373,NA,0.813668752427673,0.424567544657153
"Epilepsy",2,1,"SFCL",0.5,0.928571428571429,0.926785714285714,0.936651583710407,0.926785714285714,0.930102657004831,0.928571428571429,0.904355251921435,NA,0.797896871138631,0.416291234546913
"Epilepsy",2,1,"SFCL",1,0.857142857142857,0.850595238095238,0.850595238095238,0.850595238095238,0.850595238095238,0.857142857142857,0.809036658141517,NA,0.788816891089715,0.410934269693155
"Epilepsy",2,1,"SFCL",2,0.875,0.871428571428571,0.872252747252747,0.871428571428571,0.870149327045879,0.875,0.833262441514249,NA,0.814650960162034,0.425002869133886
"Epilepsy",2,1,"SFCL",4,0.75,0.747619047619048,0.741946778711485,0.747619047619048,0.726128038628039,0.75,0.665671641791045,NA,0.935415431200675,0.494205933579494
"Epilepsy",2,1,"SFCL",8,0.892857142857143,0.893452380952381,0.908088235294118,0.893452380952381,0.895727657004831,0.892857142857143,0.856716417910448,NA,0.893537876571942,0.473028053743151
"Epilepsy",2,1,"MFCL",0.125,0.785714285714286,0.785714285714286,0.785016025641026,0.785714285714286,0.783829611248966,0.785714285714286,0.713677034512143,NA,0.951299888535199,0.504196220621667
"Epilepsy",2,1,"MFCL",0.25,0.75,0.74702380952381,0.745520104895105,0.74702380952381,0.743225806451613,0.75,0.665814151747656,NA,0.955519746624181,0.506569418125967
"Epilepsy",2,1,"MFCL",0.5,0.75,0.74702380952381,0.747303921568627,0.74702380952381,0.745512820512821,0.75,0.665529010238908,NA,0.972870280994117,0.516917959623395
"Epilepsy",2,1,"MFCL",1,0.803571428571429,0.799404761904762,0.798557692307692,0.799404761904762,0.798491636798088,0.803571428571429,0.737313432835821,NA,0.980594601299778,0.521084788062221
"Epilepsy",2,1,"MFCL",2,0.75,0.74702380952381,0.749568078979844,0.74702380952381,0.746925322061192,0.75,0.665243381725021,NA,1.01466857948494,0.537084132275808
"Epilepsy",2,1,"MFCL",4,0.75,0.74702380952381,0.752272727272727,0.74702380952381,0.74009324009324,0.75,0.666808329791755,NA,1.01367555657188,0.538189824771957
"Epilepsy",2,1,"MFCL",8,0.732142857142857,0.72202380952381,0.735637626262626,0.72202380952381,0.718371735791091,0.732142857142857,0.640102827763496,NA,1.05461302201632,0.567499643664123
"Epilepsy",2,2,"SFCL",0.125,0.892857142857143,0.896428571428571,0.897435897435897,0.896428571428571,0.89010989010989,0.892857142857143,0.857385398981324,NA,0.813211065856043,0.422695426753287
"Epilepsy",2,2,"SFCL",0.25,0.910714285714286,0.914285714285714,0.911538461538462,0.914285714285714,0.908730158730159,0.910714285714286,0.881053525913339,NA,0.803046551863787,0.41688544630942
"Epilepsy",2,2,"SFCL",0.5,0.928571428571429,0.932142857142857,0.9375,0.932142857142857,0.927248677248677,0.928571428571429,0.904963937208316,NA,0.788104546091403,0.407660807006631
"Epilepsy",2,2,"SFCL",1,0.910714285714286,0.910119047619048,0.909340659340659,0.910119047619048,0.907898614795167,0.910714285714286,0.880901743938749,NA,0.821695520764952,0.428882819883099
"Epilepsy",2,2,"SFCL",2,0.892857142857143,0.895238095238095,0.890476190476191,0.895238095238095,0.888667845564397,0.892857142857143,0.857203569910752,NA,0.825516958174256,0.431260533467438
"Epilepsy",2,2,"SFCL",4,0.821428571428571,0.820238095238095,0.820634022839905,0.820238095238095,0.815571581196581,0.821428571428571,0.761803487877499,NA,0.908272948909616,0.48295830558479
"Epilepsy",2,2,"SFCL",8,0.839285714285714,0.839880952380952,0.845535714285714,0.839880952380952,0.832760607023677,0.839285714285714,0.78589634664401,NA,0.916315084780076,0.487995407956548
"Epilepsy",2,2,"MFCL",0.125,0.785714285714286,0.788095238095238,0.794986263736264,0.788095238095238,0.789861751152074,0.785714285714286,0.713920817369093,NA,0.984857974941603,0.52589749829044
