"dataset","seed","fold","distance","k","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"Epilepsy",1,1,"SFCL",1,0.875,0.877380952380952,0.879166666666667,0.877380952380952,0.868452380952381,0.875,0.833474936278675,NA,4.31734704936384,0.25
"Epilepsy",1,1,"SFCL",3,0.892857142857143,0.894047619047619,0.90625,0.894047619047619,0.885744339811661,0.892857142857143,0.857203569910752,NA,1.97220658907238,0.19047619047619
"Epilepsy",1,1,"SFCL",5,0.857142857142857,0.860714285714286,0.858712121212121,0.860714285714286,0.852331691297209,0.857142857142857,0.809766454352442,NA,1.45681789137486,0.208571428571429
"Epilepsy",1,1,"SFCL",7,0.839285714285714,0.842857142857143,0.840625,0.842857142857143,0.832009110652047,0.839285714285714,0.78589634664401,NA,1.48098671978995,0.212099125364431
"Epilepsy",1,1,"SFCL",9,0.875,0.876190476190476,0.894444444444444,0.876190476190476,0.866161616161616,0.875,0.833120476798638,NA,1.532185116894,0.238536155202822
"Epilepsy",1,1,"SFCL",11,0.821428571428571,0.819642857142857,0.863095238095238,0.819642857142857,0.805982905982906,0.821428571428571,0.761092150170648,NA,1.0166575132178,0.259149940968123
"Epilepsy",1,1,"MFCL",1,0.696428571428571,0.70297619047619,0.721470141700405,0.70297619047619,0.68733507895912,0.696428571428571,0.596096733135342,NA,10.4849856913122,0.607142857142857
"Epilepsy",1,1,"MFCL",3,0.678571428571429,0.6875,0.726856203007519,0.6875,0.678472507884273,0.678571428571429,0.57179269328802,NA,7.58403886506983,0.51984126984127
"Epilepsy",1,1,"MFCL",5,0.660714285714286,0.669642857142857,0.700070488721805,0.669642857142857,0.653838808250573,0.660714285714286,0.548770144189991,NA,3.53450240783791,0.45
"Epilepsy",1,1,"MFCL",7,0.678571428571429,0.686309523809524,0.710194045720361,0.686309523809524,0.66842284739983,0.678571428571429,0.573062261753494,NA,1.82970604736799,0.438775510204082
"Epilepsy",1,1,"MFCL",9,0.660714285714286,0.673809523809524,0.704365079365079,0.673809523809524,0.646969696969697,0.660714285714286,0.549915397631134,NA,1.27888038087593,0.439153439153439
"Epilepsy",1,1,"MFCL",11,0.642857142857143,0.657142857142857,0.691508182220257,0.657142857142857,0.631048387096774,0.642857142857143,0.526827207435573,NA,0.725650929573766,0.435360094451004
"Epilepsy",1,2,"SFCL",1,0.875,0.87202380952381,0.890625,0.87202380952381,0.862117720988689,0.875,0.833333333333333,NA,4.31734704936384,0.25
"Epilepsy",1,2,"SFCL",3,0.892857142857143,0.895238095238095,0.910845588235294,0.895238095238095,0.889308226071296,0.892857142857143,0.857445905812473,NA,0.812013987150942,0.170634920634921
"Epilepsy",1,2,"SFCL",5,0.875,0.878571428571429,0.885886172650879,0.878571428571429,0.872413793103448,0.875,0.833757421543681,NA,0.872556865461267,0.2
"Epilepsy",1,2,"SFCL",7,0.821428571428571,0.823214285714286,0.842063492063492,0.823214285714286,0.819109195402299,0.821428571428571,0.76271186440678,NA,0.932285952380922,0.231778425655977
"Epilepsy",1,2,"SFCL",9,0.875,0.877380952380952,0.884803921568627,0.877380952380952,0.869109195402299,0.875,0.833686890114552,NA,0.945039907279321,0.228395061728395
"Epilepsy",1,2,"SFCL",11,0.857142857142857,0.85952380952381,0.861805555555555,0.85952380952381,0.847338542710212,0.857142857142857,0.809604759881003,NA,0.975448859275235,0.239669421487603
"Epilepsy",1,2,"MFCL",1,0.839285714285714,0.846428571428571,0.851602564102564,0.846428571428571,0.840448823207444,0.839285714285714,0.786350148367953,NA,5.5508747777535,0.321428571428571
"Epilepsy",1,2,"MFCL",3,0.803571428571429,0.813095238095238,0.828125,0.813095238095238,0.797338542710212,0.803571428571429,0.738983050847458,NA,2.70574826988989,0.281746031746032
"Epilepsy",1,2,"MFCL",5,0.767857142857143,0.778571428571429,0.8,0.778571428571429,0.762993503248376,0.767857142857143,0.692177589852009,NA,2.21506024606611,0.324285714285714
"Epilepsy",1,2,"MFCL",7,0.714285714285714,0.723214285714286,0.76140350877193,0.723214285714286,0.708349344389389,0.714285714285714,0.621621621621622,NA,1.11341810600448,0.340379008746356
"Epilepsy",1,2,"MFCL",9,0.732142857142857,0.739880952380952,0.772117794486216,0.739880952380952,0.728713350697923,0.732142857142857,0.645120405576679,NA,0.609666512236184,0.364638447971781
"Epilepsy",1,2,"MFCL",11,0.767857142857143,0.774404761904762,0.79821047008547,0.774404761904762,0.765695937873357,0.767857142857143,0.691917054591621,NA,0.65899745427327,0.390495867768595
"Epilepsy",1,3,"SFCL",1,0.910714285714286,0.911904761904762,0.925213675213675,0.911904761904762,0.910454545454545,0.910714285714286,0.880597014925373,NA,3.08381932097417,0.178571428571429
"Epilepsy",1,3,"SFCL",3,0.892857142857143,0.894047619047619,0.90625,0.894047619047619,0.885744339811661,0.892857142857143,0.857203569910752,NA,1.37506080146091,0.162698412698413
"Epilepsy",1,3,"SFCL",5,0.875,0.876190476190476,0.895220588235294,0.876190476190476,0.864521185155223,0.875,0.833545647558386,NA,0.242686408854287,0.155714285714286
"Epilepsy",1,3,"SFCL",7,0.839285714285714,0.841666666666667,0.850694444444444,0.841666666666667,0.826877145842663,0.839285714285714,0.785714285714286,NA,0.339413530629583,0.209912536443149
"Epilepsy",1,3,"SFCL",9,0.839285714285714,0.84047619047619,0.849154135338346,0.84047619047619,0.819110402781802,0.839285714285714,0.785623139089749,NA,0.396252158973243,0.24294532627866
