"dataset","method","family","needs_grid","seed","fold","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier","k_sel","gamma_sel","s_sel","n_sel","lambda","seconds","ok","error"
"Epilepsy","SFKmL-C(gap) + medoid","proposed",FALSE,1,1,0.642857142857143,0.639880952380952,0.603007518796992,0.639880952380952,0.611344537815126,0.642857142857143,0.522998296422487,NA,1.18636139988417,0.649120468592014,NA,NA,1.65157299953926,3,0.780487804878049,0.225176095962524,TRUE,""
"Epilepsy","SFKmL-C(gaplab) + medoid","proposed",FALSE,1,1,0.607142857142857,0.595238095238095,0.644551282051282,0.595238095238095,0.573846153846154,0.607142857142857,0.473279179136383,NA,1.16464436725189,0.642498447728844,NA,NA,1.02,2,0.780487804878049,0.0232188701629639,TRUE,""
"Epilepsy","KmL3d-C (NC-Euclid)","distance",TRUE,1,1,0.392857142857143,0.402380952380952,0.383080808080808,0.402380952380952,0.384615384615385,0.392857142857143,0.193903471634208,NA,1.32525896028238,0.719652700851238,NA,NA,NA,NA,0.780487804878049,0.0334329605102539,TRUE,""
"Epilepsy","1NN-Euclid","distance",TRUE,1,1,0.607142857142857,0.614880952380952,0.777915632754342,0.614880952380952,0.605590062111801,0.607142857142857,0.472602739726027,NA,13.5688050122863,0.785714285714286,1,NA,NA,3,0.780487804878049,0.0246479511260986,TRUE,""
"Epilepsy","1NN-DTW","distance",FALSE,1,1,0.928571428571429,0.930952380952381,0.930952380952381,0.930952380952381,0.930952380952381,0.928571428571429,0.904518329070759,NA,2.46705545677933,0.142857142857143,1,NA,NA,3,0.780487804878049,0.00126409530639648,TRUE,""
"Epilepsy","1NN-DDTW","distance",FALSE,1,1,0.892857142857143,0.891071428571429,0.903807814992025,0.891071428571429,0.891134212305612,0.892857142857143,0.856594110115237,NA,1.16078683279203,0.636476910230569,1,NA,NA,NA,0.780487804878049,0.344831943511963,TRUE,""
"Epilepsy","NC-DBA","distance",FALSE,1,1,0.857142857142857,0.855357142857143,0.862847222222222,0.855357142857143,0.846148066519736,0.857142857142857,0.809604759881003,NA,1.21866227468202,0.662072874363224,NA,NA,NA,NA,0.780487804878049,0.274694919586182,TRUE,""
"Epilepsy","MaxDepth-MBD","depth",TRUE,1,1,0.392857142857143,0.392857142857143,0.320542635658915,0.392857142857143,0.295085745897105,0.392857142857143,0.182481751824818,NA,1.28618708734058,0.699742552835278,NA,NA,NA,NA,0.780487804878049,0.133625984191895,TRUE,""
"Epilepsy","MaxDepth-MBD (w)","depth",TRUE,1,1,0.267857142857143,0.25,0.0669642857142857,0.25,0.105633802816901,0.267857142857143,0,NA,1.31129127163909,0.711647326063281,NA,NA,NA,NA,0.780487804878049,0.176875829696655,TRUE,""
"Epilepsy","MaxDepth-MFHD","depth",TRUE,1,1,0.25,0.25,0.0625,0.25,0.1,0.25,0,NA,34.5387763949107,1,NA,NA,NA,NA,0.780487804878049,0.0681979656219482,TRUE,""
"Epilepsy","DD-classifier","depth",TRUE,1,1,0.642857142857143,0.643452380952381,0.638296997120527,0.643452380952381,0.633743842364532,0.642857142857143,0.525021204410517,NA,2.08175823586152,0.553571428571429,NA,NA,NA,NA,0.780487804878049,9.55168986320496,TRUE,""
"Epilepsy","DistSpace-Frechet","depth",FALSE,1,1,0.839285714285714,0.842857142857143,0.837280366692131,0.842857142857143,0.835273541114058,0.839285714285714,0.78544061302682,NA,4.41450678940315,0.305555555555556,3,NA,NA,3,0.780487804878049,0.103692054748535,TRUE,""
"Epilepsy","DistSpace-bagdist","depth",TRUE,1,1,0.875,0.875595238095238,0.8746336996337,0.875595238095238,0.874474548440066,0.875,0.833120476798638,NA,4.31734704936384,0.25,1,NA,NA,NA,0.780487804878049,0.758191108703613,TRUE,""
"Epilepsy","MFPCA-LDA","functional",TRUE,1,1,0.410714285714286,0.427380952380952,0.371893274853801,0.427380952380952,0.391052574876104,0.410714285714286,0.215619694397284,NA,1.18616381593696,0.669876354754157,NA,NA,NA,NA,0.780487804878049,0.0468199253082275,TRUE,""
"Epilepsy","MFPCA-SVM","functional",TRUE,1,1,0.910714285714286,0.914285714285714,0.915144230769231,0.914285714285714,0.911054257817328,0.910714285714286,0.880851063829787,NA,0.421486862022492,0.205002474241904,NA,NA,NA,NA,0.780487804878049,0.0565860271453857,TRUE,""
"Epilepsy","MFPLS-DA","functional",TRUE,1,1,0.517857142857143,0.530357142857143,0.555555555555556,0.530357142857143,0.48391861761427,0.517857142857143,0.359050445103858,NA,1.94318200323121,0.724012866913389,NA,NA,NA,NA,0.780487804878049,0.04685378074646,TRUE,""
"Epilepsy","Subspace","functional",TRUE,1,1,0.75,0.748809523809524,0.79099025974026,0.748809523809524,0.735669735669736,0.75,0.666524883028498,NA,1.28194157130483,0.693680919662607,NA,NA,NA,NA,0.780487804878049,0.157000064849854,TRUE,""
"Epilepsy","SFKmL-C(dense) + medoid","proposed",FALSE,1,1,0.678571428571429,0.679761904761905,0.775401069518717,0.679761904761905,0.66218779178338,0.678571428571429,0.57396449704142,NA,1.19606121154024,0.651769163744481,NA,1,1.73205080756888,3,0.780487804878049,0.00765395164489746,TRUE,""
"Epilepsy","MFKmL-C + medoid","proposed",FALSE,1,1,0.428571428571429,0.439285714285714,0.464156715317706,0.439285714285714,0.422931067588326,0.428571428571429,0.242923531896916,NA,1.27909493113584,0.695187120822914,NA,1,1.73205080756888,3,0.780487804878049,0.000405073165893555,TRUE,""
