"dataset","method","seed","fold","variable","w","informative"
"Epilepsy","SFKmL-C(gap) + medoid",1,1,"V01",0.539250228349915,NA
"Epilepsy","SFKmL-C(gap) + medoid",1,1,"V02",0.768973764900237,NA
"Epilepsy","SFKmL-C(gap) + medoid",1,1,"V03",0.34334900628911,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,1,"V01",0.020204124149665,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,1,"V02",0.999795875850338,NA
"Epilepsy","SFKmL-C(gaplab) + medoid",1,1,"V03",0,NA
"Epilepsy","1NN-Euclid",1,1,"V01",1,NA
"Epilepsy","1NN-Euclid",1,1,"V02",1,NA
"Epilepsy","1NN-Euclid",1,1,"V03",1,NA
"Epilepsy","1NN-DTW",1,1,"V01",1,NA
"Epilepsy","1NN-DTW",1,1,"V02",1,NA
"Epilepsy","1NN-DTW",1,1,"V03",1,NA
"Epilepsy","DistSpace-Frechet",1,1,"V01",0.51455141907373,NA
"Epilepsy","DistSpace-Frechet",1,1,"V02",0.818574280790432,NA
"Epilepsy","DistSpace-Frechet",1,1,"V03",0.255289999721174,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,1,"V01",1,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,1,"V02",1,NA
"Epilepsy","SFKmL-C(dense) + medoid",1,1,"V03",1,NA
"Epilepsy","MFKmL-C + medoid",1,1,"V01",1,NA
"Epilepsy","MFKmL-C + medoid",1,1,"V02",1,NA
"Epilepsy","MFKmL-C + medoid",1,1,"V03",1,NA
"Epilepsy","DTW + medoid",1,1,"V01",1,NA
"Epilepsy","DTW + medoid",1,1,"V02",1,NA
"Epilepsy","DTW + medoid",1,1,"V03",1,NA
"Epilepsy","Euclid + medoid",1,1,"V01",1,NA
"Epilepsy","Euclid + medoid",1,1,"V02",1,NA
"Epilepsy","Euclid + medoid",1,1,"V03",1,NA
"Epilepsy","SFKmL-C + medoid",1,1,"V01",0.51455141907373,NA
