"variable","mean_w","sd_w","zero_rate"
"LPC01",0.568150522776918,0.0602517765038398,0
"LPC09",0.443647151254816,0.0286421863486373,0
"LPC07",0.349402169270228,0.017349875631048,0
"LPC03",0.344546744171259,0.0175007025186309,0
"LPC06",0.304288991907677,0.0202818463865551,0
"LPC02",0.258566961052896,0.0311263410522391,0
"LPC10",0.1671007146165,0.0543140853202594,0
"LPC08",0.137671125258797,0.0614859093363444,0.04
"LPC12",0.0675571979362951,0.0668020993411811,0.18
"LPC04",0.0442419207822637,0.0602375551063189,0.46
"LPC05",0.0428504995926373,0.0594522097565557,0.45
"LPC11",0.00623269882518171,0.0179921140404537,0.87
