"dataset","seed","fold","s","n_sel","p","k_sel","gamma_sel","bal_acc_knn","acc_knn","macro_f1_knn","bal_acc_kfda","acc_kfda","macro_f1_kfda"
"japanese_vowels",1,1,1.02,2,12,9,0.125,0.480949143449143,0.492307692307692,0.481870068826591,0.675529100529101,0.676923076923077,0.649617277771436
"japanese_vowels",1,1,1.21466341371801,2,12,5,0.5,0.718727106227106,0.723076923076923,0.710781893004115,0.751134513634514,0.746153846153846,0.744366767549725
"japanese_vowels",1,1,1.44647765551479,4,12,9,0.125,0.857595645095645,0.853846153846154,0.858268044182023,0.881252543752544,0.884615384615385,0.88118125701459
"japanese_vowels",1,1,1.72253283030825,4,12,9,2,0.881700244200244,0.884615384615385,0.882185262381637,0.91802503052503,0.923076923076923,0.916511114578747
"japanese_vowels",1,1,2.05127216461134,6,12,7,8,0.905062067562068,0.907692307692308,0.904884456575278,0.879319291819292,0.884615384615385,0.884302952637011
"japanese_vowels",1,1,2.44275024503092,8,12,9,4,0.963675213675214,0.969230769230769,0.965327812284334,0.955555555555556,0.961538461538462,0.959003743278273
"japanese_vowels",1,1,2.90894054067624,11,12,7,4,0.954415954415954,0.961538461538462,0.95341945919951,0.948611111111111,0.953846153846154,0.951894726832188
"japanese_vowels",1,1,3.46410161513775,12,12,1,8,0.954415954415954,0.961538461538462,0.954876041832564,0.972934472934473,0.976923076923077,0.9735932344628
"japanese_vowels",1,2,1.02,2,12,7,0.125,0.534051134051134,0.542635658914729,0.52868088922133,0.769067969067969,0.775193798449612,0.767970095459577
"japanese_vowels",1,2,1.21466341371801,2,12,11,0.5,0.725696988196988,0.728682170542636,0.719470704192926,0.78715404965405,0.782945736434108,0.777336043706085
"japanese_vowels",1,2,1.44647765551479,4,12,7,1,0.852431827431827,0.86046511627907,0.847515146029975,0.901322751322751,0.906976744186046,0.899003315141789
"japanese_vowels",1,2,1.72253283030825,5,12,11,8,0.887617012617013,0.89922480620155,0.887963807686652,0.92999592999593,0.937984496124031,0.932577673649102
"japanese_vowels",1,2,2.05127216461134,6,12,11,1,0.923331298331298,0.930232558139535,0.923858605333478,0.967592592592593,0.968992248062015,0.966719360667351
"japanese_vowels",1,2,2.44275024503092,8,12,3,8,0.982193732193732,0.984496124031008,0.984188689968741,0.954415954415954,0.961240310077519,0.958616112819011
"japanese_vowels",1,2,2.90894054067624,11,12,1,4,0.966702279202279,0.968992248062015,0.969467164995115,0.990740740740741,0.992248062015504,0.9918020787586
"japanese_vowels",1,2,3.46410161513775,12,12,1,4,0.982193732193732,0.984496124031008,0.985090060618011,0.983796296296296,0.984496124031008,0.985957063985014
"japanese_vowels",1,3,1.02,2,12,7,0.125,0.485809560809561,0.503875968992248,0.473854986758213,0.683338883338883,0.705426356589147,0.680985924524572
"japanese_vowels",1,3,1.21466341371801,2,12,7,0.125,0.690809653309653,0.697674418604651,0.688879472410882,0.723252673252673,0.744186046511628,0.728197358197358
"japanese_vowels",1,3,1.44647765551479,4,12,11,0.25,0.811624949124949,0.813953488372093,0.807710995103858,0.85013505013505,0.86046511627907,0.855308398219468
"japanese_vowels",1,3,1.72253283030825,5,12,7,0.5,0.870421245421245,0.875968992248062,0.868666004593115,0.942709605209605,0.945736434108527,0.943970112951337
"japanese_vowels",1,3,2.05127216461134,6,12,7,4,0.896413308913309,0.906976744186046,0.896360435912257,0.947339234839235,0.945736434108527,0.945901495405042
"japanese_vowels",1,3,2.44275024503092,8,12,7,4,0.921876271876272,0.930232558139535,0.923476051591994,0.971479446479447,0.968992248062015,0.970400617681942
"japanese_vowels",1,3,2.90894054067624,11,12,1,4,0.94965404965405,0.953488372093023,0.954485114485115,0.966849816849817,0.968992248062015,0.967369260177464
"japanese_vowels",1,3,3.46410161513775,12,12,1,8,0.966849816849817,0.968992248062015,0.969678194412494,0.976719576719577,0.976744186046512,0.978411006982436
"japanese_vowels",1,4,1.02,2,12,5,0.125,0.480985500007239,0.484375,0.471894737632457,0.716902903859426,0.7421875,0.692822799617931
"japanese_vowels",1,4,1.21466341371801,2,12,9,0.25,0.747374746831269,0.765625,0.746160099501113,0.767116579073101,0.7890625,0.764194495802929
"japanese_vowels",1,4,1.44647765551479,4,12,5,0.25,0.872374847374847,0.8828125,0.874806961060158,0.875943400399922,0.8828125,0.875458404252233
