"method","mean","sd"
"DTW + kFDA",0.985552121203378,0.0104904761183662
"DTW + kNN",0.963727671701579,0.0152565160153471
"SFKmL-C(dense) + kNN",0.963266939631542,0.0158713741476479
"MFKmL-C + kNN",0.961518064011195,0.0169138627692157
"SFKmL-C(dense) + kFDA",0.957904141299748,0.0157488964649505
"1NN-DTW",0.956301117947756,0.0171470855824733
"SFKmL-C + kNN",0.956029686508165,0.016674963973494
"SFKmL-C + kFDA",0.95260426705234,0.0176490474478356
"NC-DBA",0.949487513104238,0.0185196882873514
"MFKmL-C + kFDA",0.928475637238637,0.0218441414590079
"DistSpace-Frechet",0.921617864502183,0.0207298283135487
"SFKmL-C + medoid",0.911164715758266,0.0235671823550268
"SFKmL-C(dense) + medoid",0.90723982377806,0.0220347668337223
"DTW + medoid",0.891055335949372,0.0231467115132459
"MFKmL-C + medoid",0.868237013279762,0.0265859247293589
"1NN-DDTW",0.678728207292208,0.0349096237911975
"SFKmL-C(gap) + medoid",0.595232027958913,0.18973883290926
"DTW + SVM",0.588312726018043,0.023021295550754
"MFKmL-C + SVM",0.564361983825283,0.021333860690824
"SFKmL-C + SVM",0.55487959820484,0.0245535191523487
"SFKmL-C(dense) + SVM",0.541328003575413,0.0245578040063785
"SFKmL-C(gaplab) + medoid",0.524403609015235,0.110494945041651
