"method","mean","sd"
"DTW + kFDA",0.985837845528063,0.0104362731709277
"SFKmL-C(dense) + kNN",0.960071282984326,0.0174568855198282
"DTW + kNN",0.959465574280792,0.0168082922565956
"MFKmL-C + kNN",0.957589200654418,0.0187166127664226
"SFKmL-C(dense) + kFDA",0.956533153038588,0.0166858746530708
"1NN-DTW",0.952736648013822,0.018857489864864
"SFKmL-C + kNN",0.95234483612201,0.0191978858902553
"SFKmL-C + kFDA",0.95136627985541,0.0185305655219783
"NC-DBA",0.94659651137912,0.0201115834332961
"MFKmL-C + kFDA",0.928656112607199,0.0222727180289759
"DistSpace-Frechet",0.915630600679514,0.0223204006182629
"SFKmL-C + medoid",0.905049350005872,0.0252280809963718
"SFKmL-C(dense) + medoid",0.901728571750311,0.0237526960432076
"DTW + medoid",0.878798199385156,0.0253524580944076
"MFKmL-C + medoid",0.860885543401848,0.0283311942845543
"1NN-DDTW",0.662875146190364,0.0332731680921026
"SFKmL-C(gap) + medoid",0.589719146594147,0.189494813051171
"DTW + SVM",0.5819191870931,0.0255980748004944
"MFKmL-C + SVM",0.555082282049673,0.0241984993822948
"SFKmL-C + SVM",0.544417157520418,0.0265935711150836
"SFKmL-C(dense) + SVM",0.533655764726417,0.0295653211028248
"SFKmL-C(gaplab) + medoid",0.520207054016837,0.113053296914839
