"method","mean","sd"
"1NN-DDTW",0.854107290602025,0.00110744870698111
"MFKmL-C + medoid",0.798229646792486,0.00258793948777996
"SFKmL-C(dense) + medoid",0.796812789466887,0.00290675166017326
"SFKmL-C + medoid",0.782872170728591,0.00468352760518497
"SFKmL-C(gap) + medoid",0.779673309612505,0.00483073889611245
"SFKmL-C(gaplab) + medoid",0.778438101807385,0.00518152650179248
"DTW + medoid",0.778389970347483,0.00295054919478256
"NC-DBA",0.758020041485339,0.00242030889899457
"MFKmL-C + kFDA",0.736339230932469,0.00385445936482437
"SFKmL-C(dense) + kFDA",0.723601850919977,0.00326588735422206
"SFKmL-C + kFDA",0.717440006151425,0.00424108161575962
"DTW + kFDA",0.686168819142905,0.00283742386201065
"SFKmL-C(dense) + SVM",0.554042197163548,0.0182650700432562
"SFKmL-C + SVM",0.535339912137804,0.0161503795280273
"MFKmL-C + SVM",0.530057663538684,0.0154351327543535
"DTW + SVM",0.511401296024593,0.0143544968594278
"DistSpace-Frechet",0.120926360554359,0.0278980519006221
"1NN-DTW",0.0873977641044877,0.0342941711649464
"SFKmL-C + kNN",0.0723911293656168,0.0245315415433736
"MFKmL-C + kNN",0.0654194674698289,0.0223252846254636
"SFKmL-C(dense) + kNN",0.0629889304151999,0.0281528232985992
"DTW + kNN",0.0597066773210397,0.0206681350232428
