"method","mean","sd"
"DTW + kFDA",0.983612756161862,0.0118972732476631
"DTW + kNN",0.95880158071452,0.0173442009075969
"SFKmL-C(dense) + kNN",0.958315933100294,0.0180176107614715
"MFKmL-C + kNN",0.956319368170754,0.0192088574493347
"SFKmL-C(dense) + kFDA",0.952237087897396,0.017875307037423
"1NN-DTW",0.950362722812975,0.0195022009970494
"SFKmL-C + kNN",0.95009982656598,0.0189357848436549
"SFKmL-C + kFDA",0.946229384333619,0.0200233490720034
"NC-DBA",0.942682631646283,0.0210204284903988
"MFKmL-C + kFDA",0.918855008884612,0.0247762309258251
"DistSpace-Frechet",0.911003038851817,0.0235489986054722
"SFKmL-C + medoid",0.899174604407145,0.0267358973828151
"SFKmL-C(dense) + medoid",0.894697818206029,0.025027368299575
"DTW + medoid",0.876020602070523,0.026389138731489
"MFKmL-C + medoid",0.850317550799338,0.0302378040220707
"1NN-DDTW",0.634245346921074,0.0396649631840186
"SFKmL-C(gap) + medoid",0.542514437759167,0.214174664663511
"DTW + SVM",0.533212913723774,0.0261019402217126
"MFKmL-C + SVM",0.506352431633217,0.0243080182271453
"SFKmL-C + SVM",0.495393630616455,0.0277967796739947
"SFKmL-C(dense) + SVM",0.480891214291806,0.0277184820545533
"SFKmL-C(gaplab) + medoid",0.462463392485435,0.124734927509249
