"method","mean","sd"
"1NN-DDTW",2.05123177911193,0.00453244011915716
"MFKmL-C + medoid",1.8486423386025,0.00863222490941829
"SFKmL-C(dense) + medoid",1.84254890605157,0.00956120345180899
"SFKmL-C + medoid",1.79535859389092,0.0155461469453987
"DTW + medoid",1.7823721762972,0.00963809476365204
"SFKmL-C(gap) + medoid",1.7627212814262,0.0210510698938235
"SFKmL-C(gaplab) + medoid",1.75298628166411,0.0174795821730467
"NC-DBA",1.71895768851993,0.00755518677852718
"MFKmL-C + kFDA",1.66066369370563,0.0110816715172582
"SFKmL-C(dense) + kFDA",1.62356743935504,0.00937986822635931
"SFKmL-C + kFDA",1.60736580688339,0.0120945876725985
"DTW + kFDA",1.52207216619648,0.00793861081861982
"1NN-DTW",1.50930591591003,0.592239354757439
"SFKmL-C(dense) + SVM",1.3431750201379,0.0470775330311973
"SFKmL-C + SVM",1.28123605345469,0.0344420541776131
"MFKmL-C + SVM",1.27617546767728,0.05059591589839
"DTW + SVM",1.22417599557874,0.0281886993573845
"DistSpace-Frechet",0.983627536220087,0.608556730884304
"SFKmL-C(dense) + kNN",0.77344238845031,0.611767067188658
"SFKmL-C + kNN",0.691117404531843,0.579569440636758
"MFKmL-C + kNN",0.630267982353086,0.407194826985322
"DTW + kNN",0.527018333367689,0.440044490733051
