"method","mean","sd"
"DTW + kFDA",0.985693142032723,0.0103767093283109
"DTW + kNN",0.961859587262902,0.0160731664552118
"SFKmL-C(dense) + kNN",0.960316008781779,0.0176127392022816
"MFKmL-C + kNN",0.958569677478893,0.0186929221536181
"SFKmL-C(dense) + kFDA",0.956482232034321,0.0164587214423936
"1NN-DTW",0.955886656896813,0.0175504098365479
"SFKmL-C + kNN",0.95274587183065,0.0190580778551079
"SFKmL-C + kFDA",0.951519630138387,0.0182770556774389
"NC-DBA",0.94642277422495,0.0199699350321345
"MFKmL-C + kFDA",0.928511799090526,0.0221259262701445
"DistSpace-Frechet",0.915763788152057,0.0226799305104735
"SFKmL-C + medoid",0.904516584910289,0.0267968550225331
"SFKmL-C(dense) + medoid",0.901044886012113,0.0245128207002566
"DTW + medoid",0.882974362224856,0.0261982090563435
"MFKmL-C + medoid",0.863222294237189,0.02767062121272
"1NN-DDTW",0.629229068245278,0.0371378076885343
"SFKmL-C(gap) + medoid",0.583340843395684,0.193754725000682
"SFKmL-C(gaplab) + medoid",0.511970204833809,0.114811271382257
"DTW + SVM",0.493359140720046,0.0348095728779713
"MFKmL-C + SVM",0.477123098195758,0.0310781517950787
"SFKmL-C + SVM",0.45572839234793,0.0328299562393256
"SFKmL-C(dense) + SVM",0.434830381004542,0.0349211863429921
