"method","mean","sd"
"DTW + kFDA",0.986572784873843,0.00965535219152929
"DTW + kNN",0.96966068349954,0.0126611445913109
"SFKmL-C(dense) + kNN",0.965166397360369,0.0155473180519699
"MFKmL-C + kNN",0.96464962237575,0.0157577895671008
"1NN-DTW",0.964579241653341,0.0132379716782971
"SFKmL-C(dense) + kFDA",0.959427488151578,0.0155489653034059
"SFKmL-C + kNN",0.958375445664051,0.0162860071355455
"SFKmL-C + kFDA",0.95492964328546,0.01744705781416
"NC-DBA",0.950439300223316,0.0186668199175899
"MFKmL-C + kFDA",0.933597345683885,0.0211211383704508
"DistSpace-Frechet",0.923202862060906,0.0218130952963196
"SFKmL-C + medoid",0.915998586939031,0.0265110040531449
"SFKmL-C(dense) + medoid",0.913792998480976,0.0224937684981848
"DTW + medoid",0.90972033751361,0.0234953400907067
"MFKmL-C + medoid",0.876747829221663,0.0261800430273483
"1NN-DDTW",0.704904748971669,0.06980114730014
"SFKmL-C(gap) + medoid",0.596337514600567,0.193539345941996
"DTW + SVM",0.593737037281318,0.0734315563593057
"MFKmL-C + SVM",0.558967073923539,0.0506120146322026
"SFKmL-C(gaplab) + medoid",0.525128820993589,0.116232925245801
"SFKmL-C + SVM",0.514245268388669,0.0840461390482126
"SFKmL-C(dense) + SVM",0.447970705253283,0.0593857651055953
