"method","sec_mean","sec_median"
"SFKmL-C(gap) + medoid",4.02234760761261,3.91064500808716
"SFKmL-C + kFDA",1.09471009731293,1.08346152305603
"SFKmL-C + SVM",0.818734247684479,0.798811435699463
"SFKmL-C + kNN",0.649646420478821,0.638554096221923
"DistSpace-Frechet",0.617120227813721,0.614243865013123
"SFKmL-C(dense) + kFDA",0.57598217010498,0.572611927986145
"SFKmL-C + medoid",0.562082719802856,0.55593204498291
"DTW + kFDA",0.539519073963165,0.538203120231629
"MFKmL-C + kFDA",0.525127642154694,0.522960543632508
"NC-DBA",0.401325025558472,0.396513938903808
"MFKmL-C + SVM",0.356366827487946,0.266750693321228
"SFKmL-C(gaplab) + medoid",0.339940671920776,0.332421064376831
"SFKmL-C(dense) + SVM",0.319144616127014,0.31458306312561
"DTW + SVM",0.261645982265472,0.260798454284668
"SFKmL-C(dense) + kNN",0.142422845363617,0.141104936599732
"MFKmL-C + kNN",0.0998047161102295,0.0988739728927612
"DTW + kNN",0.0861518383026123,0.0848430395126343
"1NN-DDTW",0.0763377642631531,0.0740255117416382
"SFKmL-C(dense) + medoid",0.0536683964729309,0.0460789203643799
"1NN-DTW",0.00413066387176514,0.00387895107269287
"DTW + medoid",0.00283942222595215,0.00126898288726807
"MFKmL-C + medoid",0.00167635679244995,0.00134503841400146
