"dataset","seed","fold","distance","k","acc","bal_acc","macro_prec","macro_rec","macro_f1","micro_f1","kappa","auc","logloss","brier"
"japanese_vowels",1,1,"SFCL",1,0.953846153846154,0.945868945868946,0.951032903189766,0.945868945868946,0.946371934943364,0.953846153846154,0.947594732598764,NA,1.5940973720728,0.0923076923076923
"japanese_vowels",1,1,"SFCL",3,0.961538461538462,0.954415954415954,0.956087848244711,0.954415954415954,0.953071290849069,0.961538461538462,0.95636119503189,NA,0.333794936452099,0.0581196581196581
"japanese_vowels",1,1,"SFCL",5,0.953846153846154,0.945868945868946,0.948243114909782,0.945868945868946,0.944400330180381,0.953846153846154,0.947629918087821,NA,0.340541821537242,0.056
"japanese_vowels",1,1,"SFCL",7,0.969230769230769,0.963675213675214,0.969848053181387,0.963675213675214,0.963871229651281,0.969230769230769,0.965086612058547,NA,0.349736174929196,0.056828885400314
"japanese_vowels",1,1,"SFCL",9,0.969230769230769,0.963675213675214,0.969848053181387,0.963675213675214,0.963871229651281,0.969230769230769,0.965086612058547,NA,0.110452451196083,0.055650522317189
"japanese_vowels",1,1,"SFCL",11,0.961538461538462,0.955128205128205,0.958736942070275,0.955128205128205,0.954727410507462,0.961538461538462,0.95636119503189,NA,0.120571604955481,0.0610298792116974
"japanese_vowels",1,1,"MFCL",1,0.961538461538462,0.960185185185185,0.965432098765432,0.960185185185185,0.959627627035162,0.961538461538462,0.956384620546199,NA,1.32841447672733,0.0769230769230769
"japanese_vowels",1,1,"MFCL",3,0.961538461538462,0.953703703703704,0.966726360059693,0.953703703703704,0.953397041727672,0.961538461538462,0.956314268432018,NA,0.848258999625062,0.0700854700854701
"japanese_vowels",1,1,"MFCL",5,0.969230769230769,0.962962962962963,0.971781305114638,0.962962962962963,0.962694821518351,0.969230769230769,0.965081923180231,NA,0.625506986618057,0.072
"japanese_vowels",1,1,"MFCL",7,0.953846153846154,0.949786324786325,0.954504137837471,0.949786324786325,0.947211313146251,0.953846153846154,0.947661544655439,NA,0.636789107427852,0.0791208791208791
"japanese_vowels",1,1,"MFCL",9,0.946153846153846,0.935897435897436,0.948776856671594,0.935897435897436,0.93151421847074,0.946153846153846,0.938881053126469,NA,0.160852299279684,0.0828110161443495
"japanese_vowels",1,1,"MFCL",11,0.946153846153846,0.935897435897436,0.948776856671594,0.935897435897436,0.93151421847074,0.946153846153846,0.938881053126469,NA,0.181548384237426,0.0917991099809282
"japanese_vowels",1,2,"SFCL",1,0.968992248062015,0.966702279202279,0.97322440087146,0.966702279202279,0.969112897684326,0.968992248062015,0.964782964782965,NA,1.0709698106949,0.062015503875969
"japanese_vowels",1,2,"SFCL",3,0.984496124031008,0.982193732193732,0.984917043740573,0.982193732193732,0.983255070211592,0.984496124031008,0.982403492020188,NA,0.0390347312720416,0.0241171403962102
"japanese_vowels",1,2,"SFCL",5,0.992248062015504,0.990740740740741,0.993464052287582,0.990740740740741,0.9918020787586,0.992248062015504,0.991201746010094,NA,0.0609530224385004,0.0297674418604651
"japanese_vowels",1,2,"SFCL",7,0.984496124031008,0.986111111111111,0.983516483516484,0.986111111111111,0.984245345149857,0.984496124031008,0.982421475778429,NA,0.0692765921163524,0.032906185730106
"japanese_vowels",1,2,"SFCL",9,0.984496124031008,0.982193732193732,0.987654320987654,0.982193732193732,0.984188689968741,0.984496124031008,0.982399890852036,NA,0.0778705547004978,0.0363671164704756
"japanese_vowels",1,2,"SFCL",11,0.976744186046512,0.977564102564103,0.979107312440646,0.977564102564103,0.977722059672324,0.976744186046512,0.97361963190184,NA,0.0952616866969615,0.0459991030815555
"japanese_vowels",1,2,"MFCL",1,0.976744186046512,0.972934472934473,0.98320987654321,0.972934472934473,0.9770901983982,0.976744186046512,0.973578207141394,NA,0.803227358021179,0.0465116279069767
"japanese_vowels",1,2,"MFCL",3,0.968992248062015,0.963675213675214,0.974662867996201,0.963675213675214,0.966776454171412,0.968992248062015,0.964768537484637,NA,0.0529243395606312,0.0361757105943152
"japanese_vowels",1,2,"MFCL",5,0.968992248062015,0.964387464387464,0.978011695906433,0.964387464387464,0.968848347419776,0.968992248062015,0.96476372575799,NA,0.0721122385287229,0.0415503875968992
"japanese_vowels",1,2,"MFCL",7,0.976744186046512,0.974786324786325,0.982456140350877,0.974786324786325,0.977369410532829,0.976744186046512,0.97359803520262,NA,0.0801193586366505,0.0423983546907135
"japanese_vowels",1,2,"MFCL",9,0.968992248062015,0.965527065527066,0.973909131803869,0.965527065527066,0.967996754203651,0.968992248062015,0.964794978508562,NA,0.0925461281150411,0.046128816154656
"japanese_vowels",1,2,"MFCL",11,0.976744186046512,0.974786324786325,0.982456140350877,0.974786324786325,0.977369410532829,0.976744186046512,0.97359803520262,NA,0.0976233997078936,0.0472804151451086
"japanese_vowels",1,3,"SFCL",1,0.953488372093023,0.94965404965405,0.966137566137566,0.94965404965405,0.954485114485115,0.953488372093023,0.947170841580779,NA,1.60645471604236,0.0930232558139535
"japanese_vowels",1,3,"SFCL",3,0.953488372093023,0.948331298331298,0.961823361823362,0.948331298331298,0.951369782480894,0.953488372093023,0.947178052275985,NA,1.12166405667064,0.0913006029285099
"japanese_vowels",1,3,"SFCL",5,0.937984496124031,0.931135531135531,0.942165242165242,0.931135531135531,0.933979407602596,0.937984496124031,0.929570736367979,NA,0.893689392008286,0.0967441860465116
"japanese_vowels",1,3,"SFCL",7,0.937984496124031,0.931135531135531,0.942165242165242,0.931135531135531,0.933979407602596,0.937984496124031,0.929570736367979,NA,0.653595120015801,0.0958709065021357
"japanese_vowels",1,3,"SFCL",9,0.930232558139535,0.921876271876272,0.933074333074333,0.921876271876272,0.924756746206022,0.930232558139535,0.920767078413977,NA,0.660641679444698,0.0966599674610011
"japanese_vowels",1,3,"SFCL",11,0.930232558139535,0.921876271876272,0.933074333074333,0.921876271876272,0.924756746206022,0.930232558139535,0.920767078413977,NA,0.663259458397432,0.0972515856236786
"japanese_vowels",1,3,"MFCL",1,0.937984496124031,0.93497150997151,0.944120280590869,0.93497150997151,0.936162450940776,0.937984496124031,0.929575542513989,NA,2.14193962138981,0.124031007751938
"japanese_vowels",1,3,"MFCL",3,0.968992248062015,0.964814814814815,0.970560303893637,0.964814814814815,0.964870729901156,0.968992248062015,0.964804583589114,NA,0.595608572441981,0.0671834625322997
"japanese_vowels",1,3,"MFCL",5,0.953488372093023,0.949323361823362,0.961164021164021,0.949323361823362,0.951964644390028,0.953488372093023,0.947167235494881,NA,0.620573705376731,0.0787596899224806
"japanese_vowels",1,3,"MFCL",7,0.968992248062015,0.964814814814815,0.973909131803869,0.964814814814815,0.966327312534209,0.968992248062015,0.964794978508562,NA,0.375425878297777,0.0740389178927385
"japanese_vowels",1,3,"MFCL",9,0.945736434108527,0.940064102564103,0.951329534662868,0.940064102564103,0.942306148513045,0.945736434108527,0.938378599699741,NA,0.398439276256146,0.0847928031390564
