"dataset","method","seed","fold","variable","w","informative"
"japanese_vowels","SFKmL-C(gap) + medoid",1,1,"LPC01",0.999795875850338,NA
"japanese_vowels","SFKmL-C(gap) + medoid",1,1,"LPC02",0,NA
"japanese_vowels","SFKmL-C(gap) + medoid",1,1,"LPC03",0,NA
"japanese_vowels","SFKmL-C(gap) + medoid",1,1,"LPC04",0,NA
"japanese_vowels","SFKmL-C(gap) + medoid",1,1,"LPC05",0,NA
"japanese_vowels","SFKmL-C(gap) + medoid",1,1,"LPC06",0,NA
"japanese_vowels","SFKmL-C(gap) + medoid",1,1,"LPC07",0,NA
"japanese_vowels","SFKmL-C(gap) + medoid",1,1,"LPC08",0,NA
"japanese_vowels","SFKmL-C(gap) + medoid",1,1,"LPC09",0.020204124149654,NA
"japanese_vowels","SFKmL-C(gap) + medoid",1,1,"LPC10",0,NA
"japanese_vowels","SFKmL-C(gap) + medoid",1,1,"LPC11",0,NA
"japanese_vowels","SFKmL-C(gap) + medoid",1,1,"LPC12",0,NA
"japanese_vowels","SFKmL-C(gaplab) + medoid",1,1,"LPC01",0.999795875850338,NA
"japanese_vowels","SFKmL-C(gaplab) + medoid",1,1,"LPC02",0,NA
"japanese_vowels","SFKmL-C(gaplab) + medoid",1,1,"LPC03",0,NA
"japanese_vowels","SFKmL-C(gaplab) + medoid",1,1,"LPC04",0,NA
"japanese_vowels","SFKmL-C(gaplab) + medoid",1,1,"LPC05",0,NA
"japanese_vowels","SFKmL-C(gaplab) + medoid",1,1,"LPC06",0,NA
"japanese_vowels","SFKmL-C(gaplab) + medoid",1,1,"LPC07",0,NA
"japanese_vowels","SFKmL-C(gaplab) + medoid",1,1,"LPC08",0,NA
"japanese_vowels","SFKmL-C(gaplab) + medoid",1,1,"LPC09",0.020204124149654,NA
"japanese_vowels","SFKmL-C(gaplab) + medoid",1,1,"LPC10",0,NA
"japanese_vowels","SFKmL-C(gaplab) + medoid",1,1,"LPC11",0,NA
"japanese_vowels","SFKmL-C(gaplab) + medoid",1,1,"LPC12",0,NA
"japanese_vowels","1NN-DTW",1,1,"LPC01",1,NA
"japanese_vowels","1NN-DTW",1,1,"LPC02",1,NA
"japanese_vowels","1NN-DTW",1,1,"LPC03",1,NA
